submission_id,sweetener
0EjRyj,"Artificial Sweeteners (e.g., Splenda)"
PABJr1,Granulated Sugar
dY2eyA,Granulated Sugar
qbE1QY,Raw Sugar (Turbinado)
EPb77N,Maple Syrup
EPb7VX,Granulated Sugar
WApVLJ,Raw Sugar (Turbinado)
ylq58B,Granulated Sugar
EPb72o,Granulated Sugar
PABJxb,Granulated Sugar
PABJxb,Honey
PABJxb,Raw Sugar (Turbinado)
6dQE6P,Granulated Sugar
rlrM8l,Granulated Sugar
RzByNl,Raw Sugar (Turbinado)
g5N6EN,Granulated Sugar
zKQ5Ba,Granulated Sugar
zKQ5Ba,Raw Sugar (Turbinado)
DVv6oR,Raw Sugar (Turbinado)
g5N6BN,Granulated Sugar
AlbeM0,Granulated Sugar
AlbeM0,Maple Syrup
oAVLJX,Granulated Sugar
oAVLJX,Brown Sugar
pLPpQV,Granulated Sugar
24xG6V,Granulated Sugar
5dqPRP,Granulated Sugar
9dJjb1,Granulated Sugar
9dJjb1,Stevia
PABJKd,Granulated Sugar
kYRBBM,Raw Sugar (Turbinado)
qbE1r2,Agave Nectar
qbE1r2,Brown Sugar
qbE1r2,Granulated Sugar
qbE1r2,Honey
pLPpjE,Granulated Sugar
YZzAPv,"Artificial Sweeteners (e.g., Splenda)"
WAp79L,Granulated Sugar
WAp79L,Honey
QABlgk,Granulated Sugar
QABlgk,Honey
QABlgk,Brown Sugar
VZ16pN,"Artificial Sweeteners (e.g., Splenda)"
jB9VDY,Raw Sugar (Turbinado)
6dQEb5,Stevia
dY2eLN,Granulated Sugar
lNlEbV,"Artificial Sweeteners (e.g., Splenda)"
pLP2rP,Raw Sugar (Turbinado)
dY2yWD,Granulated Sugar
vNx9eg,Raw Sugar (Turbinado)
jB9Vb1,Granulated Sugar
6dQB7J,Granulated Sugar
6dQB7J,Honey
24x6jM,Granulated Sugar
oAVj9N,Granulated Sugar
lNlEeo,Honey
YZzARv,Stevia
PABqj0,Brown Sugar
PABqj0,Agave Nectar
PABqj0,Honey
g5N6RK,Granulated Sugar
g5N6RK,Raw Sugar (Turbinado)
EPbO52,Granulated Sugar
24xGMA,Brown Sugar
ylqaYX,Granulated Sugar
oAVjb5,Raw Sugar (Turbinado)
oAVjb5,Honey
OABN1k,Stevia
OABN1k,Honey
OABN1k,Granulated Sugar
VZ1ORl,Granulated Sugar
eBxXZJ,Granulated Sugar
xdNWx9,Brown Sugar
xdNWx9,Granulated Sugar
DVvGdN,Granulated Sugar
qbElDO,Stevia
qbElDO,Granulated Sugar
24x68b,Granulated Sugar
BGbRXK,Honey
BGbRXK,Agave Nectar
42NbB5,Granulated Sugar
NABZl0,Raw Sugar (Turbinado)
OABN7a,Brown Sugar
LdMLRO,Granulated Sugar
LdMLRO,"Artificial Sweeteners (e.g., Splenda)"
YZzAaW,"Artificial Sweeteners (e.g., Splenda)"
YZzAaW,Honey
YZzAaW,Brown Sugar
YZzAaW,Granulated Sugar
YZzAaW,Raw Sugar (Turbinado)
24x649,Granulated Sugar
NABZ0l,Granulated Sugar
vNx920,Stevia
J2k42R,Granulated Sugar
GrBPJo,Stevia
EPbOJN,Granulated Sugar
5dqAEM,Brown Sugar
MAdxOM,Brown Sugar
MAdxOM,Raw Sugar (Turbinado)
MAdxOM,Honey
qbElY2,Granulated Sugar
AlbXqk,Granulated Sugar
bl4JY2,Brown Sugar
KMBj08,Brown Sugar
jB9VJ6,"Artificial Sweeteners (e.g., Splenda)"
rlrZqL,"Artificial Sweeteners (e.g., Splenda)"
kYRPxZ,"Artificial Sweeteners (e.g., Splenda)"
kYRPxZ,Agave Nectar
kYRPxZ,Granulated Sugar
zKQ6G8,Granulated Sugar
lNlEyv,Honey
g5Nok1,Brown Sugar
g5Nok1,Granulated Sugar
QABQkk,Granulated Sugar
QABQkk,Brown Sugar
NABZyp,Granulated Sugar
g5NogM,Raw Sugar (Turbinado)
g5NogM,"Artificial Sweeteners (e.g., Splenda)"
kYRPO6,Granulated Sugar
AlbX8D,"Artificial Sweeteners (e.g., Splenda)"
zKQ6Ja,Granulated Sugar
jB9VrQ,"Artificial Sweeteners (e.g., Splenda)"
7d9k52,Honey
vNx9gX,Stevia
DVvG9l,"Artificial Sweeteners (e.g., Splenda)"
vNx9Lv,Granulated Sugar
5dqAko,Granulated Sugar
5dqAko,Honey
RzB9z9,Granulated Sugar
AlbXGl,"Artificial Sweeteners (e.g., Splenda)"
rlrZlN,Stevia
zKQ6zR,"Artificial Sweeteners (e.g., Splenda)"
aBrMLB,"Artificial Sweeteners (e.g., Splenda)"
xdNW7d,Granulated Sugar
EPbRko,Stevia
XeBbbY,Raw Sugar (Turbinado)
oAVjrV,Granulated Sugar
KMBEYM,Granulated Sugar
KMBEYM,Brown Sugar
oAVP61,Granulated Sugar
oAVP61,Honey
oAVP61,Brown Sugar
oAVP61,Raw Sugar (Turbinado)
dY2yyK,Brown Sugar
EPbRPl,Raw Sugar (Turbinado)
1r2eXO,Granulated Sugar
qbEl89,Stevia
bl4pVe,Granulated Sugar
jB9RGa,Granulated Sugar
zKQ9ME,Granulated Sugar
VZ1e8M,Granulated Sugar
24x6Wj,Raw Sugar (Turbinado)
24x6Wj,Brown Sugar
OAB2Aa,Granulated Sugar
J2kPVo,Agave Nectar
42N6jr,Granulated Sugar
LdMrWJ,Raw Sugar (Turbinado)
bl4pNL,"Artificial Sweeteners (e.g., Splenda)"
bl4pNL,Stevia
VZ162J,"Artificial Sweeteners (e.g., Splenda)"
1r2erg,Honey
42N6Do,"Artificial Sweeteners (e.g., Splenda)"
42N6Do,Honey
6dQldA,Raw Sugar (Turbinado)
OAB2Yg,Raw Sugar (Turbinado)
xdNqzG,Granulated Sugar
EPbRj4,Granulated Sugar
EPbRj4,"Artificial Sweeteners (e.g., Splenda)"
EPbRj4,Honey
EPbRj4,Stevia
ylqBN4,Granulated Sugar
ylqBN4,"Artificial Sweeteners (e.g., Splenda)"
ylqBN4,Brown Sugar
LdMrQp,Granulated Sugar
rlre6L,Stevia
24xW0D,Granulated Sugar
J2kQMR,Stevia
ylqBx6,Granulated Sugar
oAVq0b,Honey
oAVq0b,Maple Syrup
oAVq0b,Granulated Sugar
eBxV8q,Raw Sugar (Turbinado)
oAVq6P,Raw Sugar (Turbinado)
oAVq6P,Honey
vNxl7g,Granulated Sugar
vNxl7g,Raw Sugar (Turbinado)
7d9yy6,Raw Sugar (Turbinado)
OABRPK,Granulated Sugar
24x2vA,Raw Sugar (Turbinado)
LdM8M2,Stevia
bl4aL2,"Artificial Sweeteners (e.g., Splenda)"
bl4aL2,Granulated Sugar
ZdRxV0,Granulated Sugar
ZdRxV0,Brown Sugar
0Ej4lB,Brown Sugar
MAd0qA,Raw Sugar (Turbinado)
MAd0qA,Granulated Sugar
24x2qb,"Artificial Sweeteners (e.g., Splenda)"
lNlQrN,"Artificial Sweeteners (e.g., Splenda)"
9dJe8G,Granulated Sugar
QABGgl,"Artificial Sweeteners (e.g., Splenda)"
aBrWpq,Stevia
8dpOeO,"Artificial Sweeteners (e.g., Splenda)"
DVvQKl,Stevia
KMBbkK,Granulated Sugar
ylqL9x,Raw Sugar (Turbinado)
eBx4lx,"Artificial Sweeteners (e.g., Splenda)"
rlr7bo,Stevia
9dJVkQ,Granulated Sugar
GrB8Qo,Raw Sugar (Turbinado)
NABGBl,Honey
NABGBl,Raw Sugar (Turbinado)
xdNO19,"Artificial Sweeteners (e.g., Splenda)"
xdNO19,Granulated Sugar
vNxoVX,Granulated Sugar
vNxoVX,"Artificial Sweeteners (e.g., Splenda)"
24xQGe,Granulated Sugar
RzB7Pp,"Artificial Sweeteners (e.g., Splenda)"
OABWXK,Raw Sugar (Turbinado)
5dqyoM,Maple Syrup
5dqyoM,Brown Sugar
RzB7Qp,"Artificial Sweeteners (e.g., Splenda)"
RzB7Qp,Raw Sugar (Turbinado)
24xqAj,Granulated Sugar
7d9809,Honey
dY258K,"Artificial Sweeteners (e.g., Splenda)"
xdNkX5,"Artificial Sweeteners (e.g., Splenda)"
jB9dPx,Granulated Sugar
jB9dPx,Honey
DVvrvp,Granulated Sugar
DVvrvp,"Artificial Sweeteners (e.g., Splenda)"
DVvrvp,Raw Sugar (Turbinado)
EPbjYr,Brown Sugar
WApGZk,Granulated Sugar
WApGZk,Brown Sugar
7d9BgZ,Granulated Sugar
eBxdOE,Granulated Sugar
eBxdOE,Honey
eBxdOE,Brown Sugar
BGbO2e,Honey
AlboEW,Raw Sugar (Turbinado)
jB0DQ4,Granulated Sugar
XeRlWY,Maple Syrup
XeRlWY,Granulated Sugar
VZ9EVv,Granulated Sugar
XeRlQe,Granulated Sugar
WAe90j,Granulated Sugar
dYZqdK,Granulated Sugar
BGL4r5,Granulated Sugar
BGL4r5,Raw Sugar (Turbinado)
KMPQ9A,Granulated Sugar
1rbP1M,Granulated Sugar
1rbP1M,Raw Sugar (Turbinado)
rl0jGl,Raw Sugar (Turbinado)
EPBkPl,Granulated Sugar
EPBkPl,"Artificial Sweeteners (e.g., Splenda)"
8dJ1rA,Granulated Sugar
aBjQyy,Maple Syrup
aBjQyy,Brown Sugar
NA4p5W,"Artificial Sweeteners (e.g., Splenda)"
lNlQkv,Granulated Sugar
OAjD6g,Granulated Sugar
OAjD6g,Maple Syrup
OAjD6g,Brown Sugar
8dJ175,Granulated Sugar
qbY58k,Raw Sugar (Turbinado)
YZojoW,Honey
yl0Mjd,Granulated Sugar
9d6BKG,Stevia
RzZxOP,Granulated Sugar
dYZELD,Granulated Sugar
VZ9j8J,"Artificial Sweeteners (e.g., Splenda)"
VZ9j8J,Stevia
VZ9j8J,Granulated Sugar
24bBlb,Stevia
6d1epo,"Artificial Sweeteners (e.g., Splenda)"
6d1epo,Granulated Sugar
bl29y1,"Artificial Sweeteners (e.g., Splenda)"
VZ9QGl,Granulated Sugar
RzZMvJ,"Artificial Sweeteners (e.g., Splenda)"
ZdGEWv,Maple Syrup
PA21Nx,Honey
OAj46g,Granulated Sugar
zK0M20,"Artificial Sweeteners (e.g., Splenda)"
jB0ovx,Granulated Sugar
jB0ovx,Brown Sugar
jB0ovx,Raw Sugar (Turbinado)
WAeRaL,Granulated Sugar
24bAoL,Granulated Sugar
OAj7zK,Agave Nectar
YZo4r0,Granulated Sugar
6d1Zx5,Honey
lN060X,Stevia
7dJN5Z,"Artificial Sweeteners (e.g., Splenda)"
9d67bK,Raw Sugar (Turbinado)
9d67bK,Granulated Sugar
LdEPgv,Granulated Sugar
LdEPgv,Raw Sugar (Turbinado)
rl0ABp,Granulated Sugar
Al6Lvy,"Artificial Sweeteners (e.g., Splenda)"
jB0yy1,Granulated Sugar
GrozzO,Stevia
RzZ0Y4,Granulated Sugar
KMPl5D,Brown Sugar
KMPl5D,Raw Sugar (Turbinado)
KMPl5D,Granulated Sugar
RzZzMJ,Maple Syrup
RzZzMJ,Granulated Sugar
RzZzMJ,Agave Nectar
RzZzMJ,Brown Sugar
RzZzMJ,Raw Sugar (Turbinado)
bl2lkE,Granulated Sugar
bl2lkE,"Artificial Sweeteners (e.g., Splenda)"
bl2lkE,Brown Sugar
oA0AgP,Maple Syrup
RzZ4x4,Granulated Sugar
KMPMg8,Granulated Sugar
KMPMg8,Brown Sugar
yl0D7W,Granulated Sugar
dYZDzr,Granulated Sugar
dYZDzr,Stevia
RzZv5d,Granulated Sugar
g5QpyD,Stevia
6d159J,Granulated Sugar
xd0LMk,Brown Sugar
EPBGrX,Granulated Sugar
EPBGrX,Honey
EPBGrX,Maple Syrup
EPBGrX,Raw Sugar (Turbinado)
EPBGrX,Brown Sugar
RzZQyl,Granulated Sugar
bl2RdL,Honey
bl2RdL,Maple Syrup
bl2RdL,Brown Sugar
QAx9Ol,Brown Sugar
VZ9WWj,Granulated Sugar
VZ9WWj,Raw Sugar (Turbinado)
pL0prV,Granulated Sugar
RzZ9Md,Granulated Sugar
qbYlJg,"Artificial Sweeteners (e.g., Splenda)"
421be5,Stevia
OAj2QY,"Artificial Sweeteners (e.g., Splenda)"
QAxZoX,Granulated Sugar
4216Gr,"Artificial Sweeteners (e.g., Splenda)"
MArWLM,Honey
MArWLM,Maple Syrup
MArWLM,Granulated Sugar
MArWLM,Raw Sugar (Turbinado)
NA4a8G,Honey
LdEejy,"Artificial Sweeteners (e.g., Splenda)"
jB0KLJ,Granulated Sugar
24b2lj,Honey
GroMYZ,Granulated Sugar
6d1q4e,Granulated Sugar
6d1q4e,Maple Syrup
6d1q4e,Brown Sugar
6d1q4e,Raw Sugar (Turbinado)
DVXLgN,Granulated Sugar
5dlRvv,Granulated Sugar
PA2KBx,"Artificial Sweeteners (e.g., Splenda)"
LdElkp,Granulated Sugar
LdElkp,Honey
LdElkp,Agave Nectar
LdElkp,Brown Sugar
LdElkp,Raw Sugar (Turbinado)
rl077p,Granulated Sugar
rl077p,Raw Sugar (Turbinado)
aBjVYE,Raw Sugar (Turbinado)
aBjVYE,Granulated Sugar
421e7X,Granulated Sugar
eBNkMk,Granulated Sugar
bl2bV6,Granulated Sugar
J2V52d,Granulated Sugar
