submission_id,brew_other
gMR29l,NULL
BkPN0e,NULL
W5G8jj,NULL
4xWgGr,NULL
QD27Q8,NULL
V0LPeM,NULL
V0Gaxg,NULL
AdzRL0,NULL
LbWda2,NULL
EXQLWN,NULL
2eNLJg,NULL
xpa2K9,NULL
V00RoJ,NULL
7WWB4A,NULL
pKL8aB,NULL
Zd694B,NULL
QAeYZY,NULL
QA5JYA,NULL
Rz5BPj,NULL
jyDqva,NULL
eB7QoJ,NULL
24xzlg,Aeropress
DVvoqX,NULL
1r2YJQ,NULL
24xYOV,NULL
AlbYao,NULL
J2krYz,NULL
WAp6ak,NULL
aBr18q,NULL
42NYWO,NULL
6dQ08e,NULL
J2kj9J,NULL
8dpDNA,NULL
EPbVlL,NULL
ylqbBg,NULL
vNx6A4,NULL
KMB2og,NULL
qbEQPO,Mokkapot
9dJ0O5,Moka pot
BGboZR,Aeropress
BGboZR,moka pot.
oAVNdO,NULL
YZzBdN,NULL
VZ17Z6,NULL
RzBeZj,NULL
0Ej0GZ,Aeropress
eBxO4l,NULL
WApbkQ,NULL
0Ej0WA,NULL
9dJYlQ,Aeropress
BGbJzQ,NULL
OABqpR,NULL
bl41Zg,NULL
GrBVrk,NULL
WApbYk,Aeropress
eBxG20,NULL
24x9NA,NULL
NAB2qB,NULL
RzBqoJ,NULL
jB98xY,NULL
LdMxB2,NULL
GrBOrz,NULL
5dqajd,Areopress
VZ1W0E,NULL
NABN5G,Aeropress
6dQY8o,NULL
WAp6va,NULL
EPbVGA,NULL
OABqQp,NULL
DVvOop,NULL
KMBrLz,NULL
jB9r21,NULL
pLPYLE,NULL
oAV8yX,NULL
aBrp0W,NULL
g5NPxK,NULL
bl41kE,NULL
GrBO1z,NULL
xdN8Q9,NULL
vNx8Xv,NULL
dY2JPN,NULL
MAdjLE,NULL
6dQ6xo,NULL
7d97lZ,NULL
0EjqPQ,NULL
BGbJD4,NULL
9dJYbp,NULL
xdNbJ9,NULL
EPbVLl,NULL
pLPNQJ,NULL
AlbMLW,Aeropress
EPboPq,NULL
ylq8yW,NULL
J2kEDz,NULL
24x9Lg,NULL
0EjYb6,NULL
ZdRb6a,NULL
WApbdP,Aeropress
24xY69,NULL
RzBqWd,NULL
RzBqLv,NULL
oAV8d5,NULL
oAV8OM,NULL
AlbYyW,NULL
KMB4kk,Moka pot
42N0Kd,NULL
0Ej0VZ,NULL
rlrQQo,NULL
vNx84X,NULL
