submission_id,additions,additions_other
jB9ALR,dairy alternative,NULL
jB9ALR,or coffee creamer,NULL
jB9ALR,Sugar or sweetener,NULL
9dJjpK,Sugar or sweetener,NULL
9dJjpK,Milk,NULL
9dJjpK,dairy alternative,NULL
9dJjpK,or coffee creamer,NULL
LdMLE2,Milk,NULL
LdMLE2,dairy alternative,NULL
LdMLE2,or coffee creamer,NULL
LdMLE2,Sugar or sweetener,NULL
LdMLE2,No - just black,NULL
xdN54E,Milk,NULL
xdN54E,dairy alternative,NULL
xdN54E,or coffee creamer,NULL
J2kvV7,Milk,NULL
J2kvV7,dairy alternative,NULL
J2kvV7,or coffee creamer,NULL
8dp46k,No - just black,NULL
8dp46k,Milk,NULL
8dp46k,dairy alternative,NULL
8dp46k,or coffee creamer,NULL
1r2oD4,No - just black,NULL
bl4QK0,Flavor syrup,NULL
bl4QK0,Milk,NULL
bl4QK0,dairy alternative,NULL
bl4QK0,or coffee creamer,NULL
DVv6AX,No - just black,NULL
QABlxk,Milk,NULL
QABlxk,dairy alternative,NULL
QABlxk,or coffee creamer,NULL
QABlxk,No - just black,NULL
QABlxk,Flavor syrup,NULL
aBrqjy,No - just black,NULL
XeBP1e,No - just black,NULL
XeBP1e,Milk,NULL
XeBP1e,dairy alternative,NULL
XeBP1e,or coffee creamer,NULL
qbE1P2,No - just black,NULL
9dJjlG,Milk,NULL
9dJjlG,dairy alternative,NULL
9dJjlG,or coffee creamer,NULL
WApVPJ,Milk,NULL
WApVPJ,dairy alternative,NULL
WApVPJ,or coffee creamer,NULL
jB9A5Y,No - just black,NULL
OABMjA,No - just black,NULL
DVv6V5,Milk,NULL
DVv6V5,dairy alternative,NULL
DVv6V5,or coffee creamer,NULL
XeBPMd,No - just black,NULL
6dQEAo,Milk,NULL
6dQEAo,dairy alternative,NULL
6dQEAo,or coffee creamer,NULL
jB9AG9,Milk,NULL
jB9AG9,dairy alternative,NULL
jB9AG9,or coffee creamer,NULL
pLPpVV,No - just black,NULL
rlrMYo,Milk,NULL
rlrMYo,dairy alternative,NULL
rlrMYo,or coffee creamer,NULL
5dqPpQ,No - just black,NULL
rlrMbN,No - just black,NULL
zKQ51g,Milk,NULL
zKQ51g,dairy alternative,NULL
zKQ51g,or coffee creamer,NULL
7d9rp2,No - just black,NULL
5dqPMQ,No - just black,NULL
5dqPMQ,Milk,NULL
5dqPMQ,dairy alternative,NULL
5dqPMQ,or coffee creamer,NULL
5dqPMQ,Flavor syrup,NULL
9dJjrE,No - just black,NULL
MAdp78,No - just black,NULL
kYRBpo,Milk,NULL
kYRBpo,dairy alternative,NULL
kYRBpo,or coffee creamer,NULL
kYRBpo,Flavor syrup,NULL
pLPpz1,No - just black,NULL
pLPpz1,Milk,NULL
pLPpz1,dairy alternative,NULL
pLPpz1,or coffee creamer,NULL
pLPpz1,Sugar or sweetener,NULL
pLPpz1,Flavor syrup,NULL
KMBKgX,No - just black,NULL
QABlk1,Milk,NULL
QABlk1,dairy alternative,NULL
QABlk1,or coffee creamer,NULL
QABlk1,Sugar or sweetener,NULL
XeBPzz,No - just black,NULL
8dp4gP,No - just black,NULL
PABJ41,No - just black,NULL
QABlO1,Milk,NULL
QABlO1,dairy alternative,NULL
QABlO1,or coffee creamer,NULL
RzByjK,No - just black,NULL
kYRBrr,No - just black,NULL
PABJGx,No - just black,NULL
vNx5gl,No - just black,NULL
eBxWzx,No - just black,NULL
WApVZe,No - just black,NULL
Albeae,Milk,NULL
Albeae,dairy alternative,NULL
Albeae,or coffee creamer,NULL
lNlkMX,Milk,NULL
lNlkMX,dairy alternative,NULL
lNlkMX,or coffee creamer,NULL
OABMVa,No - just black,NULL
XeBP2z,No - just black,NULL
eBxWpl,Milk,NULL
eBxWpl,dairy alternative,NULL
eBxWpl,or coffee creamer,NULL
EPb7gB,No - just black,NULL
RzBy2K,No - just black,NULL
1r2oBg,NULL,NULL
GrBAjZ,No - just black,NULL
KMBKaD,No - just black,NULL
ZdRrQV,Milk,NULL
ZdRrQV,dairy alternative,NULL
ZdRrQV,or coffee creamer,NULL
ZdRrQV,Sugar or sweetener,NULL
1r2oRg,No - just black,NULL
kYRBkZ,No - just black,NULL
oAVLzb,No - just black,NULL
aBrqzZ,Milk,NULL
aBrqzZ,dairy alternative,NULL
aBrqzZ,or coffee creamer,NULL
rlrMvX,No - just black,NULL
EPb76l,No - just black,NULL
24xGDM,No - just black,NULL
7d9rPa,Milk,NULL
7d9rPa,dairy alternative,NULL
7d9rPa,or coffee creamer,NULL
DVv69R,No - just black,NULL
42NVdA,Milk,NULL
42NVdA,dairy alternative,NULL
42NVdA,or coffee creamer,NULL
42NVdA,No - just black,NULL
g5N6OP,No - just black,NULL
J2kvZR,No - just black,NULL
RzBylj,Milk,NULL
RzBylj,dairy alternative,NULL
RzBylj,or coffee creamer,NULL
RzBylj,Sugar or sweetener,NULL
qbE1zO,Milk,NULL
qbE1zO,dairy alternative,NULL
qbE1zO,or coffee creamer,NULL
jB9AEQ,No - just black,NULL
xdN5ov,No - just black,NULL
9dJja5,No - just black,NULL
EPb7N2,No - just black,NULL
kYRBQe,No - just black,NULL
24xGVD,Milk,NULL
24xGVD,dairy alternative,NULL
24xGVD,or coffee creamer,NULL
VZ1O46,No - just black,NULL
PABJee,No - just black,NULL
eBxWYQ,Milk,NULL
eBxWYQ,dairy alternative,NULL
eBxWYQ,or coffee creamer,NULL
eBxWYQ,Sugar or sweetener,NULL
qbE1NO,No - just black,NULL
oAVLaP,No - just black,NULL
LdMLgl,No - just black,NULL
ylq5zd,No - just black,NULL
NAB1EO,No - just black,NULL
7d9rj0,Milk,NULL
7d9rj0,dairy alternative,NULL
7d9rj0,or coffee creamer,NULL
ZdRrKB,No - just black,NULL
xdN56d,No - just black,NULL
xdN56d,Milk,NULL
xdN56d,dairy alternative,NULL
xdN56d,or coffee creamer,NULL
rlrMg2,Milk,NULL
rlrMg2,dairy alternative,NULL
rlrMg2,or coffee creamer,NULL
rlrMg2,Sugar or sweetener,NULL
qbE1pg,Milk,NULL
qbE1pg,dairy alternative,NULL
qbE1pg,or coffee creamer,NULL
pLPpXJ,No - just black,NULL
xdN5vk,No - just black,NULL
vNx5a0,No - just black,NULL
LdML6J,No - just black,NULL
bl4QML,No - just black,NULL
6dQEyJ,Milk,NULL
6dQEyJ,dairy alternative,NULL
6dQEyJ,or coffee creamer,NULL
xdN5L5,No - just black,NULL
OABMra,No - just black,NULL
jB9AgQ,No - just black,NULL
EPb7AB,No - just black,NULL
GrBAQO,No - just black,NULL
lNlk9v,No - just black,NULL
eBxWox,No - just black,NULL
VZ1OyM,No - just black,NULL
VZ1OyM,Milk,NULL
VZ1OyM,dairy alternative,NULL
VZ1OyM,or coffee creamer,NULL
KMBKNV,No - just black,NULL
OABMyY,No - just black,NULL
WApVjR,Sugar or sweetener,NULL
WApVjR,Milk,NULL
WApVjR,dairy alternative,NULL
WApVjR,or coffee creamer,NULL
OABMKR,No - just black,NULL
YZzlyW,No - just black,NULL
BGbWVK,Milk,NULL
BGbWVK,dairy alternative,NULL
BGbWVK,or coffee creamer,NULL
XeBPyL,No - just black,NULL
VZ1OBg,No - just black,NULL
1r2ox1,Milk,NULL
1r2ox1,dairy alternative,NULL
1r2ox1,or coffee creamer,NULL
1r2ox1,Sugar or sweetener,NULL
LdMLVl,No - just black,NULL
oAVLQO,No - just black,NULL
pLPpNJ,No - just black,NULL
eBxWPk,No - just black,NULL
VZ1Oxj,No - just black,NULL
zKQ54R,No - just black,NULL
Albeyl,No - just black,NULL
eBxWyl,No - just black,NULL
eBxWyl,Milk,NULL
eBxWyl,dairy alternative,NULL
eBxWyl,or coffee creamer,NULL
rlrM1R,Milk,NULL
rlrM1R,dairy alternative,NULL
rlrM1R,or coffee creamer,NULL
rlrM1R,Flavor syrup,NULL
24xGZD,No - just black,NULL
VZ1Oyy,No - just black,NULL
XeBPdg,No - just black,NULL
rlrMRN,No - just black,NULL
6dQEGk,Milk,NULL
6dQEGk,dairy alternative,NULL
6dQEGk,or coffee creamer,NULL
EPb7YB,No - just black,NULL
7d9rEa,No - just black,NULL
ylq5Rx,No - just black,NULL
MAdpgk,No - just black,NULL
g5N6vJ,No - just black,NULL
0EjRlB,Milk,NULL
0EjRlB,dairy alternative,NULL
0EjRlB,or coffee creamer,NULL
9dJjPQ,No - just black,NULL
AlbeND,Milk,NULL
AlbeND,dairy alternative,NULL
AlbeND,or coffee creamer,NULL
OABMkM,No - just black,NULL
zKQ5dk,Other,Cinnamon
7d9rgR,No - just black,NULL
vNx5pl,No - just black,NULL
EPb7e4,No - just black,NULL
DVv6PZ,No - just black,NULL
MAdpPk,Milk,NULL
MAdpPk,dairy alternative,NULL
MAdpPk,or coffee creamer,NULL
ylq5rg,Milk,NULL
ylq5rg,dairy alternative,NULL
ylq5rg,or coffee creamer,NULL
24xG7M,Milk,NULL
24xG7M,dairy alternative,NULL
24xG7M,or coffee creamer,NULL
bl4Qz6,No - just black,NULL
6dQE9Y,No - just black,NULL
eBxWvQ,Milk,NULL
eBxWvQ,dairy alternative,NULL
eBxWvQ,or coffee creamer,NULL
ZdRrXo,No - just black,NULL
24xGy9,Milk,Salt
24xGy9,dairy alternative,Salt
24xGy9,or coffee creamer,Salt
24xGy9,Sugar or sweetener,Salt
24xGy9,Other,Salt
xdN57r,Milk,NULL
xdN57r,dairy alternative,NULL
xdN57r,or coffee creamer,NULL
xdN57r,Sugar or sweetener,NULL
lNlkXk,No - just black,NULL
9dJjyV,Milk,NULL
9dJjyV,dairy alternative,NULL
9dJjyV,or coffee creamer,NULL
RzBy19,No - just black,NULL
J2kvgK,No - just black,NULL
J2kvbo,No - just black,NULL
DVv6ZE,Milk,NULL
DVv6ZE,dairy alternative,NULL
DVv6ZE,or coffee creamer,NULL
DVv6ZE,Flavor syrup,NULL
aBrq1B,No - just black,NULL
XeBPvY,Milk,NULL
XeBPvY,dairy alternative,NULL
XeBPvY,or coffee creamer,NULL
ZdRrAo,No - just black,NULL
NAB1O0,No - just black,NULL
J2kvBr,No - just black,NULL
ylq5px,Milk,NULL
ylq5px,dairy alternative,NULL
ylq5px,or coffee creamer,NULL
KMBKRg,No - just black,NULL
OABMyg,No - just black,NULL
oAVLax,No - just black,NULL
VZ1OXg,Milk,NULL
VZ1OXg,dairy alternative,NULL
VZ1OXg,or coffee creamer,NULL
WApVdv,No - just black,NULL
aBrqXB,Milk,NULL
aBrqXB,dairy alternative,NULL
aBrqXB,or coffee creamer,NULL
EPb7rr,No - just black,NULL
EPb7rr,Milk,NULL
EPb7rr,dairy alternative,NULL
EPb7rr,or coffee creamer,NULL
EPb7rr,Flavor syrup,NULL
NAB1gO,No - just black,NULL
XeBPkY,No - just black,NULL
XeBPkY,Milk,NULL
XeBPkY,dairy alternative,NULL
XeBPkY,or coffee creamer,NULL
vNx5Wg,No - just black,NULL
LdMLOy,No - just black,NULL
aBrqa2,No - just black,NULL
aBrqa2,Milk,NULL
aBrqa2,dairy alternative,NULL
aBrqa2,or coffee creamer,NULL
WApVXN,Milk,NULL
WApVXN,dairy alternative,NULL
WApVXN,or coffee creamer,NULL
OABMeg,No - just black,NULL
NAB1xl,Milk,NULL
NAB1xl,dairy alternative,NULL
NAB1xl,or coffee creamer,NULL
dY2ekV,Flavor syrup,NULL
dY2ekV,Sugar or sweetener,NULL
dY2ekV,Milk,NULL
dY2ekV,dairy alternative,NULL
dY2ekV,or coffee creamer,NULL
LdMLBv,Milk,NULL
LdMLBv,dairy alternative,NULL
LdMLBv,or coffee creamer,NULL
Albe0e,Flavor syrup,NULL
Albe0e,Milk,NULL
Albe0e,dairy alternative,NULL
Albe0e,or coffee creamer,NULL
eBxW8e,No - just black,NULL
eBxW8e,Milk,NULL
eBxW8e,dairy alternative,NULL
eBxW8e,or coffee creamer,NULL
eBxW8e,Sugar or sweetener,NULL
8dp4V5,No - just black,NULL
1r2ozp,No - just black,NULL
DVv6al,Milk,NULL
DVv6al,dairy alternative,NULL
DVv6al,or coffee creamer,NULL
DVv6al,Sugar or sweetener,NULL
DVv6al,No - just black,NULL
QABl4Y,Milk,NULL
QABl4Y,dairy alternative,NULL
QABl4Y,or coffee creamer,NULL
QABl4Y,No - just black,NULL
DVv6EZ,No - just black,NULL
DVv6EZ,Milk,NULL
DVv6EZ,dairy alternative,NULL
DVv6EZ,or coffee creamer,NULL
J2kvxR,No - just black,NULL
eBxWGe,Milk,NULL
eBxWGe,dairy alternative,NULL
eBxWGe,or coffee creamer,NULL
KMBKA8,No - just black,NULL
DVv6Wl,No - just black,NULL
QABlyG,No - just black,NULL
pLPp58,No - just black,NULL
VZ1Oqj,No - just black,NULL
XeBPNP,Milk,NULL
XeBPNP,dairy alternative,NULL
XeBPNP,or coffee creamer,NULL
XeBPNP,Sugar or sweetener,NULL
jB9Aq4,No - just black,NULL
qbE1M9,Milk,NULL
qbE1M9,dairy alternative,NULL
qbE1M9,or coffee creamer,NULL
5dqPON,No - just black,NULL
rlrMW2,No - just black,NULL
dY2ezr,Milk,NULL
dY2ezr,dairy alternative,NULL
dY2ezr,or coffee creamer,NULL
oAVLgb,No - just black,NULL
GrBAaZ,No - just black,NULL
7d9rOZ,No - just black,NULL
kYRB1e,Milk,NULL
kYRB1e,dairy alternative,NULL
kYRB1e,or coffee creamer,NULL
kYRB1e,Sugar or sweetener,NULL
24xGzj,No - just black,Espresso
24xGzj,Milk,Espresso
24xGzj,dairy alternative,Espresso
24xGzj,or coffee creamer,Espresso
24xGzj,No - just black,pourover - black. Kcups at work - sweet cream creamer
24xGzj,Milk,pourover - black. Kcups at work - sweet cream creamer
24xGzj,dairy alternative,pourover - black. Kcups at work - sweet cream creamer
24xGzj,or coffee creamer,pourover - black. Kcups at work - sweet cream creamer
XeBPQP,Milk,NULL
XeBPQP,dairy alternative,NULL
XeBPQP,or coffee creamer,NULL
9dJj4E,No - just black,NULL
MAdpqA,No - just black,NULL
AlbeOz,No - just black,NULL
NAB1Qj,No - just black,NULL
GrBA5O,No - just black,NULL
24xGYj,No - just black,NULL
kYRBXR,No - just black,NULL
WApV6N,No - just black,NULL
dY2eXo,No - just black,NULL
QABlp7,No - just black,NULL
ylq5GX,No - just black,NULL
EPb7Al,No - just black,NULL
42NVEA,Milk,NULL
42NVEA,dairy alternative,NULL
42NVEA,or coffee creamer,NULL
aBrqgb,Sugar or sweetener,NULL
aBrqgb,Milk,NULL
aBrqgb,dairy alternative,NULL
aBrqgb,or coffee creamer,NULL
42NVYX,Sugar or sweetener,NULL
oAVL1x,No - just black,NULL
KMBKZV,No - just black,NULL
1r2oyl,No - just black,NULL
42NVEr,No - just black,NULL
g5N614,Milk,NULL
g5N614,dairy alternative,NULL
g5N614,or coffee creamer,NULL
0EjRyj,No - just black,NULL
0EjRyj,Sugar or sweetener,NULL
6dQEzJ,No - just black,NULL
jB9Ara,No - just black,NULL
dY2e4K,Milk,NULL
dY2e4K,dairy alternative,NULL
dY2e4K,or coffee creamer,NULL
zKQ5vM,No - just black,NULL
YZzlgW,No - just black,NULL
pLPpZ1,No - just black,NULL
pLPpZ1,Milk,NULL
pLPpZ1,dairy alternative,NULL
pLPpZ1,or coffee creamer,NULL
J2kvro,No - just black,NULL
xdN5B5,Milk,NULL
xdN5B5,dairy alternative,NULL
xdN5B5,or coffee creamer,NULL
rlrMp2,No - just black,NULL
QABlWG,No - just black,NULL
vNx5d4,No - just black,NULL
jB9AzQ,No - just black,NULL
jB9AzQ,Milk,NULL
jB9AzQ,dairy alternative,NULL
jB9AzQ,or coffee creamer,NULL
MAdp2M,No - just black,NULL
7d9rYZ,No - just black,NULL
g5N6XO,No - just black,NULL
PABJr1,Milk,NULL
PABJr1,dairy alternative,NULL
PABJr1,or coffee creamer,NULL
PABJr1,Sugar or sweetener,NULL
RzByg4,No - just black,NULL
RzByg4,Milk,NULL
RzByg4,dairy alternative,NULL
RzByg4,or coffee creamer,NULL
MAdpGl,Milk,NULL
MAdpGl,dairy alternative,NULL
MAdpGl,or coffee creamer,NULL
g5N6rD,Milk,NULL
g5N6rD,dairy alternative,NULL
g5N6rD,or coffee creamer,NULL
RzByaj,No - just black,NULL
RzByaj,Milk,NULL
RzByaj,dairy alternative,NULL
RzByaj,or coffee creamer,NULL
PABJLV,No - just black,NULL
GrBA4k,No - just black,NULL
zKQ5o0,No - just black,NULL
dY2eyA,Sugar or sweetener,NULL
GrBAOp,No - just black,NULL
qbE1QY,Sugar or sweetener,NULL
9dJj0p,No - just black,NULL
EPb77N,Milk,NULL
EPb77N,dairy alternative,NULL
EPb77N,or coffee creamer,NULL
EPb77N,Sugar or sweetener,NULL
YZzlbB,No - just black,NULL
Albeek,Milk,NULL
Albeek,dairy alternative,NULL
Albeek,or coffee creamer,NULL
Albeek,No - just black,NULL
WApV7a,No - just black,NULL
kYRBPM,No - just black,NULL
GrBAAo,No - just black,NULL
rlrMMl,No - just black,NULL
VZ1Oag,No - just black,NULL
5dqPa6,No - just black,NULL
J2kvj4,No - just black,NULL
XeBPAj,Flavor syrup,NULL
24xGdL,No - just black,NULL
qbE117,No - just black,NULL
42NVVk,No - just black,NULL
5dqPYo,No - just black,NULL
J2kv4d,Milk,NULL
J2kv4d,dairy alternative,NULL
J2kv4d,or coffee creamer,NULL
EPb7VX,No - just black,NULL
EPb7VX,Sugar or sweetener,NULL
LdMLxj,No - just black,NULL
LdMLxj,Milk,NULL
LdMLxj,dairy alternative,NULL
LdMLxj,or coffee creamer,NULL
1r2o0Q,Milk,NULL
1r2o0Q,dairy alternative,NULL
1r2o0Q,or coffee creamer,NULL
bl4QJo,No - just black,NULL
42NV6b,Milk,NULL
42NV6b,dairy alternative,NULL
42NV6b,or coffee creamer,NULL
aBrqJv,No - just black,NULL
OABMM7,No - just black,NULL
42NVMb,Milk,NULL
42NVMb,dairy alternative,NULL
42NVMb,or coffee creamer,NULL
WApVaj,No - just black,NULL
RzByQ9,No - just black,NULL
RzByQ9,Milk,NULL
RzByQ9,dairy alternative,NULL
RzByQ9,or coffee creamer,NULL
OABMM8,No - just black,NULL
42NVlk,No - just black,NULL
42NVlk,Milk,NULL
42NVlk,dairy alternative,NULL
42NVlk,or coffee creamer,NULL
XeBP6j,Milk,NULL
XeBP6j,dairy alternative,NULL
XeBP6j,or coffee creamer,NULL
WApVLJ,Milk,NULL
WApVLJ,dairy alternative,NULL
WApVLJ,or coffee creamer,NULL
WApVLJ,Sugar or sweetener,NULL
eBxWWO,No - just black,NULL
PABJqb,No - just black,NULL
6dQEBB,No - just black,NULL
GrBAEp,No - just black,NULL
xdN5qo,Milk,NULL
xdN5qo,dairy alternative,NULL
xdN5qo,or coffee creamer,NULL
g5N6VO,No - just black,NULL
eBxWXO,No - just black,NULL
KMBKj7,No - just black,NULL
5dqP06,Milk,NULL
5dqP06,dairy alternative,NULL
5dqP06,or coffee creamer,NULL
5dqP06,Flavor syrup,NULL
zKQ58a,Milk,NULL
zKQ58a,dairy alternative,NULL
zKQ58a,or coffee creamer,NULL
EPb7RN,No - just black,NULL
DVv685,Milk,NULL
DVv685,dairy alternative,NULL
DVv685,or coffee creamer,NULL
RzByed,No - just black,NULL
oAVLjV,No - just black,NULL
dY2ery,Milk,NULL
dY2ery,dairy alternative,NULL
dY2ery,or coffee creamer,NULL
pLPp2b,No - just black,NULL
pLPp2b,Milk,NULL
pLPp2b,dairy alternative,NULL
pLPp2b,or coffee creamer,NULL
QABlN8,No - just black,NULL
GrBAZj,Milk,NULL
GrBAZj,dairy alternative,NULL
GrBAZj,or coffee creamer,NULL
YZzl75,No - just black,NULL
ylq58B,Milk,NULL
ylq58B,dairy alternative,NULL
ylq58B,or coffee creamer,NULL
ylq58B,Sugar or sweetener,NULL
ylq5AB,Milk,NULL
ylq5AB,dairy alternative,NULL
ylq5AB,or coffee creamer,NULL
AlbeR0,Milk,NULL
AlbeR0,dairy alternative,NULL
AlbeR0,or coffee creamer,NULL
AlbeR0,No - just black,NULL
dY2eoo,No - just black,NULL
YZzlAd,No - just black,NULL
NAB1NB,No - just black,NULL
aBrqR9,Milk,NULL
aBrqR9,dairy alternative,NULL
aBrqR9,or coffee creamer,NULL
LdMLr1,No - just black,NULL
zKQ5k1,No - just black,NULL
42NVbO,Other,I add just the tiniest amount of sugar and milk
42NVbO,Milk,I add just the tiniest amount of sugar and milk
42NVbO,dairy alternative,I add just the tiniest amount of sugar and milk
42NVbO,or coffee creamer,I add just the tiniest amount of sugar and milk
42NVbO,Other,about a half a teaspoon of sugar and a tablespoon of milk at the most.
42NVbO,Milk,about a half a teaspoon of sugar and a tablespoon of milk at the most.
42NVbO,dairy alternative,about a half a teaspoon of sugar and a tablespoon of milk at the most.
42NVbO,or coffee creamer,about a half a teaspoon of sugar and a tablespoon of milk at the most.
oAVLJ1,Milk,NULL
oAVLJ1,dairy alternative,NULL
oAVLJ1,or coffee creamer,NULL
jB9AN6,No - just black,NULL
qbE1l7,No - just black,NULL
42NV0X,No - just black,NULL
7d9rrA,Milk,NULL
7d9rrA,dairy alternative,NULL
7d9rrA,or coffee creamer,NULL
5dqPNM,No - just black,NULL
5dqPNM,Milk,NULL
5dqPNM,dairy alternative,NULL
5dqPNM,or coffee creamer,NULL
ZdRrbz,Milk,NULL
ZdRrbz,dairy alternative,NULL
ZdRrbz,or coffee creamer,NULL
vNx5RA,No - just black,NULL
0EjRqN,No - just black,NULL
vNx59Q,Milk,NULL
vNx59Q,dairy alternative,NULL
vNx59Q,or coffee creamer,NULL
vNx59Q,Flavor syrup,NULL
EPb72o,No - just black,NULL
EPb72o,Milk,NULL
EPb72o,dairy alternative,NULL
EPb72o,or coffee creamer,NULL
EPb72o,Sugar or sweetener,NULL
EPb72o,Flavor syrup,NULL
dY2eJq,No - just black,NULL
g5N6od,No - just black,NULL
PABJxb,Milk,NULL
PABJxb,dairy alternative,NULL
PABJxb,or coffee creamer,NULL
PABJxb,Sugar or sweetener,NULL
PABJxb,Flavor syrup,NULL
6dQEEB,No - just black,NULL
6dQE6P,Milk,NULL
6dQE6P,dairy alternative,NULL
6dQE6P,or coffee creamer,NULL
6dQE6P,Sugar or sweetener,NULL
pLPpYq,No - just black,NULL
RzByyJ,Milk,NULL
RzByyJ,dairy alternative,NULL
RzByyJ,or coffee creamer,NULL
XeBP7g,No - just black,NULL
rlrM8l,Milk,NULL
rlrM8l,dairy alternative,NULL
rlrM8l,or coffee creamer,NULL
rlrM8l,Sugar or sweetener,NULL
RzByqd,No - just black,NULL
9dJjKY,Milk,NULL
9dJjKY,dairy alternative,NULL
9dJjKY,or coffee creamer,NULL
RzByNl,Milk,NULL
RzByNl,dairy alternative,NULL
RzByNl,or coffee creamer,NULL
RzByNl,Sugar or sweetener,NULL
RzByNl,Flavor syrup,NULL
VZ1O7J,Milk,NULL
VZ1O7J,dairy alternative,NULL
VZ1O7J,or coffee creamer,NULL
vNx5kd,Milk,NULL
vNx5kd,dairy alternative,NULL
vNx5kd,or coffee creamer,NULL
8dp4DO,No - just black,NULL
7d9rkA,No - just black,NULL
GrBAAp,Milk,NULL
GrBAAp,dairy alternative,NULL
GrBAAp,or coffee creamer,NULL
rlrMQN,No - just black,NULL
GrBAW2,Milk,NULL
GrBAW2,dairy alternative,NULL
GrBAW2,or coffee creamer,NULL
6dQEqe,No - just black,NULL
RzBypp,No - just black,NULL
zKQ5AR,No - just black,NULL
eBxWg0,No - just black,NULL
jB9AAx,No - just black,NULL
oAVLLV,Milk,NULL
oAVLLV,dairy alternative,NULL
oAVLLV,or coffee creamer,NULL
YZzl6d,No - just black,NULL
g5N6EN,Milk,NULL
g5N6EN,dairy alternative,NULL
g5N6EN,or coffee creamer,NULL
g5N6EN,Sugar or sweetener,NULL
xdN5AG,No - just black,NULL
xdN5AG,Milk,NULL
xdN5AG,dairy alternative,NULL
xdN5AG,or coffee creamer,NULL
lNlkp5,No - just black,NULL
ZdRrBy,No - just black,NULL
ZdRrBy,Milk,NULL
ZdRrBy,dairy alternative,NULL
ZdRrBy,or coffee creamer,NULL
YZzl2q,No - just black,NULL
rlrM75,No - just black,NULL
zKQ5Ba,Milk,NULL
zKQ5Ba,dairy alternative,NULL
zKQ5Ba,or coffee creamer,NULL
zKQ5Ba,Sugar or sweetener,NULL
0EjRX0,Milk,NULL
0EjRX0,dairy alternative,NULL
0EjRX0,or coffee creamer,NULL
VZ1OgE,No - just black,NULL
9dJjjY,No - just black,NULL
9dJjjY,Milk,NULL
9dJjjY,dairy alternative,NULL
9dJjjY,or coffee creamer,NULL
J2kvE4,No - just black,NULL
rlrM4M,No - just black,NULL
1r2oLM,No - just black,NULL
8dp4Bx,No - just black,NULL
8dp4Bx,Milk,NULL
8dp4Bx,dairy alternative,NULL
8dp4Bx,or coffee creamer,NULL
jB9A4a,No - just black,NULL
42NVVO,No - just black,NULL
bl4QRg,No - just black,NULL
pLPpqq,No - just black,NULL
AlbeXk,No - just black,NULL
42NV6O,No - just black,NULL
GrBAM2,No - just black,NULL
LdML4j,No - just black,NULL
LdML4j,Milk,NULL
LdML4j,dairy alternative,NULL
LdML4j,or coffee creamer,NULL
LdML4j,Flavor syrup,NULL
42NVeB,No - just black,NULL
QABllp,No - just black,NULL
RzByNJ,No - just black,NULL
oAVLP1,No - just black,NULL
kYRBj1,No - just black,NULL
EPb79q,No - just black,NULL
aBrqMq,Milk,NULL
aBrqMq,dairy alternative,NULL
aBrqMq,or coffee creamer,NULL
GrBAVZ,No - just black,NULL
5dqP7d,No - just black,NULL
kYRBL6,No - just black,NULL
DVv6oR,Sugar or sweetener,NULL
GrBAGj,No - just black,NULL
24xG9L,No - just black,NULL
lNlkGW,Milk,NULL
lNlkGW,dairy alternative,NULL
lNlkGW,or coffee creamer,NULL
vNx58v,No - just black,NULL
g5N6BN,Sugar or sweetener,NULL
OABMRK,No - just black,NULL
eBxWVq,No - just black,NULL
g5N621,No - just black,NULL
5dqPJM,Milk,NULL
5dqPJM,dairy alternative,NULL
5dqPJM,or coffee creamer,NULL
7d9ryL,No - just black,NULL
7d9ryL,Milk,NULL
7d9ryL,dairy alternative,NULL
7d9ryL,or coffee creamer,NULL
aBrq7E,No - just black,NULL
XeBPa4,No - just black,NULL
kYRBqJ,Milk,NULL
kYRBqJ,dairy alternative,NULL
kYRBqJ,or coffee creamer,NULL
kYRBqJ,No - just black,NULL
24xGGL,No - just black,NULL
aBrqqq,No - just black,NULL
VZ1O6v,No - just black,NULL
jB9AjR,Milk,NULL
jB9AjR,dairy alternative,NULL
jB9AjR,or coffee creamer,NULL
AlbeM0,No - just black,NULL
AlbeM0,Milk,NULL
AlbeM0,dairy alternative,NULL
AlbeM0,or coffee creamer,NULL
AlbeM0,Sugar or sweetener,NULL
AlbeM0,Flavor syrup,NULL
NAB1ZQ,Milk,NULL
NAB1ZQ,dairy alternative,NULL
NAB1ZQ,or coffee creamer,NULL
NAB1ZQ,No - just black,NULL
xdN5GG,No - just black,NULL
oAVLJX,Milk,NULL
oAVLJX,dairy alternative,NULL
oAVLJX,or coffee creamer,NULL
oAVLJX,Sugar or sweetener,NULL
oAVLJX,Flavor syrup,NULL
lNlkx5,No - just black,NULL
ZdRrqa,Milk,NULL
ZdRrqa,dairy alternative,NULL
ZdRrqa,or coffee creamer,NULL
OABM28,No - just black,NULL
xdN5by,No - just black,NULL
xdN5by,Milk,NULL
xdN5by,dairy alternative,NULL
xdN5by,or coffee creamer,NULL
ylq5Lp,No - just black,NULL
0EjR96,No - just black,NULL
dY2eMA,No - just black,NULL
jB9A4x,No - just black,NULL
42NV5B,Milk,NULL
42NV5B,dairy alternative,NULL
42NV5B,or coffee creamer,NULL
oAVLZP,No - just black,NULL
EPb77X,No - just black,NULL
EPb77X,Milk,NULL
EPb77X,dairy alternative,NULL
EPb77X,or coffee creamer,NULL
