submission_id,purchase,purchase_other
BGbJE5,NULL,NULL
0EjzA9,Specialty coffee shop,NULL
0EjzA9,"National chain (e.g. Starbucks, Dunkin)",NULL
vNx6YX,"National chain (e.g. Starbucks, Dunkin)",NULL
vNx6YX,Local cafe,NULL
WApaAQ,NULL,NULL
J2krZX,NULL,NULL
oAVN6V,NULL,NULL
VZ1WVN,NULL,NULL
42Nlko,NULL,NULL
RzBq4P,NULL,NULL
1r2QM4,NULL,NULL
LdM4d2,Drive-thru,NULL
LdM4d2,"National chain (e.g. Starbucks, Dunkin)",NULL
LdM4d2,Specialty coffee shop,NULL
42N0dB,NULL,NULL
jB98M9,NULL,NULL
1r205O,NULL,NULL
5dq0yE,Other,I don’t
5dq0yE,Other,cafe coffee has never appealed to me because of the cost to quantity ratio
YZzb4N,NULL,NULL
QABq7Y,NULL,NULL
PABQDd,NULL,NULL
9dJY7E,NULL,NULL
24xYgM,NULL,NULL
KMB25K,NULL,NULL
RzBqzP,NULL,NULL
GrBEvo,NULL,NULL
rlrQrv,Specialty coffee shop,NULL
LdMxpz,"National chain (e.g. Starbucks, Dunkin)",NULL
LdMxpz,Specialty coffee shop,NULL
ZdRblA,NULL,NULL
bl4My7,NULL,NULL
XeB72d,Specialty coffee shop,NULL
XeB72d,"National chain (e.g. Starbucks, Dunkin)",NULL
zKQBXq,NULL,NULL
rlr9Yv,NULL,NULL
dY2GNy,NULL,NULL
zKQA18,"National chain (e.g. Starbucks, Dunkin)",NULL
zKQA18,Drive-thru,NULL
ZdRAAV,"National chain (e.g. Starbucks, Dunkin)",NULL
VZ17Ev,NULL,NULL
NAB2Ab,NULL,NULL
rlr9yM,NULL,NULL
5dqYbv,NULL,NULL
AlbRKW,NULL,NULL
ylqb6X,NULL,NULL
dY2o6d,"National chain (e.g. Starbucks, Dunkin)",NULL
dY2o6d,Local cafe,NULL
dY2oKz,NULL,NULL
oAVN61,Specialty coffee shop,NULL
oAVN61,Local cafe,NULL
oAVN61,"National chain (e.g. Starbucks, Dunkin)",NULL
rlr9yv,NULL,NULL
kYR4Nr,Local cafe,NULL
kYR4Nr,Specialty coffee shop,NULL
kYR4Nr,Other,NULL
zKQ4kq,NULL,NULL
RzBeoP,NULL,NULL
24xYJL,NULL,NULL
ZdRAWA,NULL,NULL
rlr9OL,NULL,NULL
PABQdQ,"National chain (e.g. Starbucks, Dunkin)",NULL
1r20NQ,NULL,NULL
qbEqj2,NULL,NULL
g5NV9P,NULL,NULL
42NY8Y,NULL,NULL
GrBVJp,NULL,NULL
7d90RL,NULL,NULL
lNl8WV,NULL,NULL
vNxaEA,"National chain (e.g. Starbucks, Dunkin)",NULL
0EjY5P,NULL,NULL
eBxO5q,NULL,NULL
blx47Z,NULL,NULL
lNlXyB,NULL,NULL
1r2Yx4,NULL,NULL
1r20WM,NULL,NULL
J2krad,NULL,NULL
DVvo05,Drive-thru,NULL
VZ1aJj,NULL,NULL
42N0ab,NULL,NULL
aBrJxZ,NULL,NULL
9dJ0qG,NULL,NULL
PABN1x,NULL,NULL
8dpDDk,NULL,NULL
qA2y0O,Local cafe,NULL
qA2y0O,Specialty coffee shop,NULL
V0ELg6,NULL,NULL
zKQ8Qg,NULL,NULL
VZ1WYN,NULL,NULL
jB98W1,NULL,NULL
24x9Rj,NULL,NULL
rlr82o,Specialty coffee shop,NULL
QABNj7,NULL,NULL
vNx8El,NULL,NULL
jB98WY,Specialty coffee shop,NULL
LdM4Op,NULL,NULL
qbE8gG,NULL,NULL
bl41zZ,NULL,NULL
xdN8yk,NULL,NULL
rlr8LX,Specialty coffee shop,NULL
rlr8LX,"National chain (e.g. Starbucks, Dunkin)",NULL
jB98ga,NULL,NULL
pLPY01,NULL,NULL
GrBODO,NULL,NULL
7d97a0,NULL,NULL
WApale,NULL,NULL
0EjqlN,"National chain (e.g. Starbucks, Dunkin)",NULL
oAV8dN,NULL,NULL
0Ejqaj,NULL,NULL
5dqaeZ,NULL,NULL
g5N8v4,NULL,NULL
oAV8lb,NULL,NULL
AlbMyz,NULL,NULL
jB9871,NULL,NULL
9dJA2E,NULL,NULL
PABZBx,NULL,NULL
DVvRWR,NULL,NULL
dY2JDV,NULL,NULL
bl41Y1,NULL,NULL
rlr8vR,Specialty coffee shop,NULL
xdN89d,NULL,NULL
kYR8Jo,NULL,NULL
YZz7xW,NULL,NULL
RzBq29,NULL,NULL
24x9DD,NULL,NULL
rlr8k2,Drive-thru,NULL
7d97ER,NULL,NULL
GrBOBO,NULL,NULL
42NlPr,Local cafe,NULL
42NlPr,Specialty coffee shop,NULL
XeB6OP,Local cafe,NULL
VZ1W4y,NULL,NULL
kYR8ve,NULL,NULL
YZz7oN,NULL,NULL
OABxYM,"National chain (e.g. Starbucks, Dunkin)",NULL
OABxYM,Local cafe,NULL
OABxYM,Specialty coffee shop,NULL
xdN8lv,NULL,NULL
eBxgYk,NULL,NULL
RzBqj9,NULL,NULL
1r2QGg,NULL,NULL
pLPYZJ,NULL,NULL
MAdj6k,NULL,NULL
OABxER,NULL,NULL
BGbJ0K,NULL,NULL
qbE8jO,NULL,NULL
kYR8ze,NULL,NULL
GrBODQ,NULL,NULL
vNx8KD,NULL,NULL
oAV8VN,NULL,NULL
VZ1Wxg,Specialty coffee shop,NULL
VZ1Wxg,Local cafe,NULL
24x9Oe,Specialty coffee shop,NULL
24x9Oe,Local cafe,NULL
KMBrO8,NULL,NULL
WApa1v,NULL,NULL
bl41gL,NULL,NULL
EPbovB,Specialty coffee shop,NULL
EPbovB,"National chain (e.g. Starbucks, Dunkin)",NULL
ylq8e8,NULL,NULL
24x9ZL,NULL,NULL
MAdjGM,NULL,NULL
24x9Zj,NULL,NULL
rlr8kR,NULL,NULL
g5N8pl,NULL,NULL
rlr8qN,NULL,NULL
ylq87g,NULL,NULL
GrBO7Z,NULL,NULL
NAB2Rj,NULL,NULL
RzBqkj,NULL,NULL
xdN86r,NULL,NULL
9dJArQ,NULL,NULL
EPboa4,NULL,NULL
WApaQN,NULL,NULL
42NlN5,NULL,NULL
AlbM50,Specialty coffee shop,NULL
QABNap,Other,Online
dY2Jkd,NULL,NULL
RzBqr9,NULL,NULL
lNl89W,NULL,NULL
PABZGB,"National chain (e.g. Starbucks, Dunkin)",NULL
PABZGB,Drive-thru,NULL
PABZGB,Local cafe,NULL
PABZGB,Specialty coffee shop,NULL
RzBqjj,Local cafe,NULL
RzBqjj,"National chain (e.g. Starbucks, Dunkin)",NULL
LdM4ov,NULL,NULL
GrBO5k,NULL,NULL
ZdRbWo,NULL,NULL
AlbMQD,Local cafe,NULL
AlbMQD,"National chain (e.g. Starbucks, Dunkin)",NULL
42NlqX,NULL,NULL
24x9D9,NULL,NULL
oAV81V,NULL,NULL
QABNE7,Specialty coffee shop,NULL
6dQ6QN,Specialty coffee shop,NULL
KMBrkV,NULL,NULL
g5N8NJ,NULL,NULL
aBrpab,NULL,NULL
OABxVR,NULL,NULL
aBrpPq,NULL,NULL
bl41vZ,NULL,NULL
oAV8kO,"National chain (e.g. Starbucks, Dunkin)",NULL
qbE8NG,NULL,NULL
eBxgoe,NULL,NULL
aBrpkB,Local cafe,NULL
vNx8g0,NULL,NULL
NAB2Ol,Specialty coffee shop,NULL
GrBObk,NULL,NULL
kYR8x1,NULL,NULL
g5N8z4,NULL,NULL
lNl8zv,NULL,NULL
jB98z4,NULL,NULL
RzBqVj,NULL,NULL
BGbJ6Q,NULL,NULL
5dqagd,Other,Cometeer
QABN8Y,NULL,NULL
24x9o9,NULL,NULL
BGbJ9Q,Local cafe,NULL
BGbJ9Q,Deli or supermarket,NULL
BGbJ9Q,Specialty coffee shop,NULL
PABZrV,NULL,NULL
lNl84k,Local cafe,NULL
rlr8YR,NULL,NULL
zKQ8L0,NULL,NULL
NAB2El,"National chain (e.g. Starbucks, Dunkin)",NULL
NAB2El,Specialty coffee shop,NULL
NAB2El,Local cafe,NULL
9dJAMV,NULL,NULL
YZz79J,NULL,NULL
5dqaod,NULL,NULL
GrBOgp,NULL,NULL
dY2Jgo,Other,Online ordering
dY2Jgo,Deli or supermarket,Online ordering
