submission_id,purchase,purchase_other
YZzldq,Specialty coffee shop,NULL
YZzldq,"National chain (e.g. Starbucks, Dunkin)",NULL
RzByYp,NULL,NULL
zKQ5zq,NULL,NULL
5dqPkd,NULL,NULL
dY2eZN,NULL,NULL
1r2ovO,NULL,NULL
PABJB0,Local cafe,NULL
AlbeDW,Local cafe,NULL
AlbeDW,Specialty coffee shop,NULL
GrBA1o,Specialty coffee shop,NULL
6dQE15,NULL,NULL
LdMLG1,Specialty coffee shop,NULL
LdMLG1,Local cafe,NULL
LdML0G,Local cafe,NULL
zKQ5Kq,NULL,NULL
J2kvJY,NULL,NULL
rlrMVM,NULL,NULL
DVv6eb,NULL,NULL
5dqPdd,NULL,NULL
RzByLl,NULL,NULL
5dqPvP,NULL,NULL
YZzlV0,NULL,NULL
vNx54A,NULL,NULL
XeBPG4,NULL,NULL
jB9ABE,NULL,NULL
PABJ8P,NULL,NULL
RzBy4J,NULL,NULL
jB9AxR,NULL,NULL
dY2eYA,Local cafe,NULL
dY2eYA,Drive-thru,NULL
0EjRJ0,NULL,NULL
PABJvP,NULL,NULL
DVv60p,NULL,NULL
rlrMKv,NULL,NULL
9dJjJ4,Specialty coffee shop,NULL
oAVL0M,NULL,NULL
vNx5Od,Local cafe,NULL
vNx5Od,Specialty coffee shop,NULL
QABlYA,NULL,NULL
24xGkp,NULL,NULL
7d9roL,NULL,NULL
lNlkNW,NULL,NULL
g5N64N,NULL,NULL
g5N65d,NULL,NULL
7d9rdA,NULL,NULL
lNlkL5,NULL,NULL
rlrMKM,NULL,NULL
0EjRoQ,Local cafe,NULL
0EjRoQ,"National chain (e.g. Starbucks, Dunkin)",NULL
0EjRoQ,Specialty coffee shop,NULL
GrBA1j,NULL,NULL
qbE1b7,NULL,NULL
oAVLVM,NULL,NULL
RzByRl,NULL,NULL
g5N6QK,Specialty coffee shop,NULL
GrBAYz,NULL,NULL
QABlBk,NULL,NULL
vNx5NQ,NULL,NULL
6dQEro,NULL,NULL
eBxWNo,NULL,NULL
NAB1MN,NULL,NULL
dY2eDy,NULL,NULL
MAdpvE,NULL,NULL
MAdp5Y,NULL,NULL
9dJjE1,NULL,NULL
PABJ20,NULL,NULL
8dp4eA,NULL,NULL
DVv65b,NULL,NULL
qbE1o8,NULL,NULL
OABMBA,NULL,NULL
oAVLlM,NULL,NULL
5dqPEb,NULL,NULL
6dQEOO,NULL,NULL
jB9A99,NULL,NULL
7d9r46,NULL,NULL
qbE1Yk,NULL,NULL
pLPpWZ,NULL,NULL
VZ1Olv,NULL,NULL
OABMJp,NULL,NULL
aBrqry,Specialty coffee shop,NULL
7d9r9z,NULL,NULL
oAVLl5,NULL,NULL
aBrqZW,NULL,NULL
lNlk06,NULL,NULL
ZdRrGv,NULL,NULL
xdN5ZG,NULL,NULL
lNlkYV,NULL,NULL
VZ1OME,NULL,NULL
rlrMrL,NULL,NULL
42NVAd,NULL,NULL
jB9AJ1,NULL,NULL
rlrMr5,Specialty coffee shop,NULL
rlrMr5,Local cafe,NULL
rlrMr5,"National chain (e.g. Starbucks, Dunkin)",NULL
WApVpQ,NULL,NULL
ZdRrvA,NULL,NULL
8dp4dx,NULL,NULL
vNx5JX,NULL,NULL
zKQ5e1,NULL,NULL
lNlkKV,NULL,NULL
rlrMJX,NULL,NULL
8dp4PY,NULL,NULL
LdMLaz,NULL,NULL
rlrM0L,NULL,NULL
PABJBd,NULL,NULL
NAB1Rp,NULL,NULL
42NV9d,NULL,NULL
jB9A76,NULL,NULL
OABMLK,NULL,NULL
GrBABz,NULL,NULL
YZzlY6,NULL,NULL
YZzlo0,NULL,NULL
g5N671,NULL,NULL
qbE1k5,NULL,NULL
7d9r16,NULL,NULL
24xGkV,NULL,NULL
BGbWA4,NULL,NULL
rlrMJp,NULL,NULL
bl4Qr2,NULL,NULL
aBrqDE,NULL,NULL
YZzlrq,NULL,NULL
VZ1O9l,NULL,NULL
EPb7Lo,NULL,NULL
jB9A09,NULL,NULL
GrBAL2,NULL,NULL
EPb7Z2,NULL,NULL
EPb7vA,NULL,NULL
42NVPo,NULL,NULL
g5N6JM,NULL,NULL
9dJj2K,NULL,NULL
xdN5Rk,Local cafe,NULL
xdN5Rk,Specialty coffee shop,NULL
24xGvA,Specialty coffee shop,NULL
24xGvA,Local cafe,NULL
AlbeWo,Local cafe,NULL
AlbeWo,Specialty coffee shop,NULL
ZdRrza,NULL,NULL
qbE1Ek,NULL,NULL
1r2oN4,Specialty coffee shop,NULL
VZ1ObN,NULL,NULL
24xGxA,NULL,NULL
pLPpRy,NULL,NULL
J2kvk7,NULL,NULL
oAVL55,NULL,NULL
lNlkWp,NULL,NULL
QABl8l,Specialty coffee shop,NULL
QABl8l,Local cafe,NULL
eBxWxo,NULL,NULL
eBxW2E,NULL,NULL
rlrMd5,NULL,NULL
8dp4Ak,NULL,NULL
RzByvv,NULL,NULL
rlrM2p,NULL,NULL
24xG1g,Local cafe,NULL
EPb7BL,Local cafe,NULL
EPb7BL,Drive-thru,NULL
EPb7BL,Specialty coffee shop,NULL
eBxWKJ,NULL,NULL
zKQ5J8,NULL,NULL
ZdRrZ5,NULL,NULL
1r2o2L,NULL,NULL
xdN599,NULL,NULL
YZzlpz,NULL,NULL
bl4Q82,NULL,NULL
PABJ80,NULL,NULL
24xGOb,Specialty coffee shop,Online via local roaster
24xGOb,Other,Online via local roaster
24xGOb,Local cafe,Online via local roaster
5dqPGP,NULL,NULL
bl4Q4E,Specialty coffee shop,NULL
bl4Q4E,Local cafe,NULL
KMBKBK,NULL,NULL
DVv6Jj,NULL,NULL
eBxW7E,NULL,NULL
GrBAoz,NULL,NULL
EPb70o,NULL,NULL
kYRBJd,NULL,NULL
J2kv2d,NULL,NULL
OABMdk,Specialty coffee shop,NULL
OABMdk,"National chain (e.g. Starbucks, Dunkin)",NULL
LdMLvz,NULL,NULL
0EjRv0,"National chain (e.g. Starbucks, Dunkin)",NULL
VZ1OZv,NULL,NULL
5dqPLM,NULL,NULL
LdMLXG,Specialty coffee shop,NULL
RzByZP,NULL,NULL
42NVvB,NULL,NULL
GrBAqO,Local cafe,NULL
GrBAqO,Specialty coffee shop,NULL
BGbWj4,NULL,NULL
BGbWB7,NULL,NULL
ylq5o6,NULL,NULL
J2kvLJ,NULL,NULL
42NVjb,NULL,NULL
bl4Q2E,NULL,NULL
5dqPev,NULL,NULL
6dQEvO,NULL,NULL
jB9ALR,Local cafe,NULL
jB9ALR,Specialty coffee shop,NULL
9dJjpK,NULL,NULL
LdMLE2,NULL,NULL
xdN54E,NULL,NULL
J2kvV7,NULL,NULL
8dp46k,NULL,NULL
1r2oD4,NULL,NULL
bl4QK0,NULL,NULL
DVv6AX,NULL,NULL
QABlxk,"National chain (e.g. Starbucks, Dunkin)",NULL
QABlxk,Drive-thru,NULL
QABlxk,Local cafe,NULL
aBrqjy,NULL,NULL
XeBP1e,NULL,NULL
qbE1P2,NULL,NULL
9dJjlG,NULL,NULL
WApVPJ,Local cafe,NULL
WApVPJ,"National chain (e.g. Starbucks, Dunkin)",NULL
WApVPJ,Specialty coffee shop,NULL
jB9A5Y,NULL,NULL
OABMjA,Specialty coffee shop,NULL
DVv6V5,NULL,NULL
XeBPMd,NULL,NULL
6dQEAo,NULL,NULL
jB9AG9,Specialty coffee shop,NULL
pLPpVV,NULL,NULL
rlrMYo,NULL,NULL
5dqPpQ,NULL,NULL
rlrMbN,NULL,NULL
zKQ51g,NULL,NULL
7d9rp2,NULL,NULL
5dqPMQ,NULL,NULL
9dJjrE,NULL,NULL
MAdp78,NULL,NULL
kYRBpo,"National chain (e.g. Starbucks, Dunkin)",NULL
pLPpz1,NULL,NULL
KMBKgX,NULL,NULL
QABlk1,NULL,NULL
XeBPzz,NULL,NULL
8dp4gP,NULL,NULL
PABJ41,NULL,NULL
QABlO1,NULL,NULL
RzByjK,NULL,NULL
kYRBrr,NULL,NULL
PABJGx,NULL,NULL
vNx5gl,NULL,NULL
eBxWzx,NULL,NULL
WApVZe,Specialty coffee shop,NULL
Albeae,NULL,NULL
lNlkMX,NULL,NULL
OABMVa,NULL,NULL
XeBP2z,NULL,NULL
eBxWpl,NULL,NULL
EPb7gB,NULL,NULL
RzBy2K,NULL,NULL
1r2oBg,NULL,NULL
GrBAjZ,NULL,NULL
KMBKaD,NULL,NULL
ZdRrQV,NULL,NULL
1r2oRg,NULL,NULL
kYRBkZ,NULL,NULL
oAVLzb,NULL,NULL
aBrqzZ,NULL,NULL
rlrMvX,NULL,NULL
EPb76l,NULL,NULL
24xGDM,NULL,NULL
7d9rPa,NULL,NULL
DVv69R,NULL,NULL
42NVdA,NULL,NULL
g5N6OP,NULL,NULL
J2kvZR,NULL,NULL
RzBylj,"National chain (e.g. Starbucks, Dunkin)",NULL
RzBylj,Local cafe,NULL
qbE1zO,NULL,NULL
jB9AEQ,NULL,NULL
xdN5ov,NULL,NULL
9dJja5,NULL,NULL
EPb7N2,NULL,NULL
kYRBQe,NULL,NULL
24xGVD,NULL,NULL
VZ1O46,NULL,NULL
PABJee,NULL,NULL
eBxWYQ,NULL,NULL
qbE1NO,NULL,NULL
oAVLaP,NULL,NULL
LdMLgl,NULL,NULL
ylq5zd,NULL,NULL
NAB1EO,NULL,NULL
7d9rj0,NULL,NULL
ZdRrKB,NULL,NULL
xdN56d,NULL,NULL
rlrMg2,NULL,NULL
qbE1pg,NULL,NULL
pLPpXJ,NULL,NULL
xdN5vk,Other,Online: Amazon.com
vNx5a0,NULL,NULL
LdML6J,NULL,NULL
bl4QML,NULL,NULL
6dQEyJ,NULL,NULL
xdN5L5,NULL,NULL
OABMra,NULL,NULL
jB9AgQ,NULL,NULL
EPb7AB,"National chain (e.g. Starbucks, Dunkin)",NULL
GrBAQO,NULL,NULL
lNlk9v,NULL,NULL
eBxWox,NULL,NULL
VZ1OyM,NULL,NULL
KMBKNV,NULL,NULL
OABMyY,NULL,NULL
WApVjR,NULL,NULL
OABMKR,NULL,NULL
YZzlyW,NULL,NULL
BGbWVK,"National chain (e.g. Starbucks, Dunkin)",NULL
BGbWVK,Local cafe,NULL
XeBPyL,Specialty coffee shop,NULL
VZ1OBg,NULL,NULL
1r2ox1,Local cafe,NULL
1r2ox1,"National chain (e.g. Starbucks, Dunkin)",NULL
LdMLVl,NULL,NULL
oAVLQO,NULL,NULL
pLPpNJ,NULL,NULL
eBxWPk,NULL,NULL
VZ1Oxj,NULL,NULL
zKQ54R,NULL,NULL
Albeyl,NULL,NULL
eBxWyl,NULL,NULL
rlrM1R,NULL,NULL
24xGZD,NULL,NULL
VZ1Oyy,NULL,NULL
XeBPdg,NULL,NULL
rlrMRN,NULL,NULL
6dQEGk,NULL,NULL
EPb7YB,NULL,NULL
7d9rEa,NULL,NULL
ylq5Rx,Specialty coffee shop,NULL
MAdpgk,NULL,NULL
g5N6vJ,NULL,NULL
0EjRlB,NULL,NULL
9dJjPQ,NULL,NULL
AlbeND,NULL,NULL
OABMkM,NULL,NULL
zKQ5dk,NULL,NULL
7d9rgR,NULL,NULL
vNx5pl,NULL,NULL
EPb7e4,NULL,NULL
DVv6PZ,NULL,NULL
MAdpPk,NULL,NULL
ylq5rg,NULL,NULL
24xG7M,Specialty coffee shop,NULL
24xG7M,Local cafe,NULL
bl4Qz6,NULL,NULL
6dQE9Y,Local cafe,NULL
eBxWvQ,Local cafe,NULL
ZdRrXo,NULL,NULL
24xGy9,Specialty coffee shop,NULL
xdN57r,NULL,NULL
lNlkXk,NULL,NULL
9dJjyV,NULL,NULL
RzBy19,NULL,NULL
J2kvgK,NULL,NULL
J2kvbo,NULL,NULL
DVv6ZE,Specialty coffee shop,NULL
DVv6ZE,"National chain (e.g. Starbucks, Dunkin)",NULL
DVv6ZE,Local cafe,NULL
aBrq1B,NULL,NULL
XeBPvY,NULL,NULL
ZdRrAo,NULL,NULL
NAB1O0,NULL,NULL
J2kvBr,NULL,NULL
ylq5px,NULL,NULL
KMBKRg,NULL,NULL
OABMyg,NULL,NULL
oAVLax,NULL,NULL
VZ1OXg,NULL,NULL
WApVdv,NULL,NULL
aBrqXB,NULL,NULL
EPb7rr,Local cafe,NULL
EPb7rr,"National chain (e.g. Starbucks, Dunkin)",NULL
NAB1gO,NULL,NULL
XeBPkY,Specialty coffee shop,NULL
XeBPkY,Local cafe,NULL
vNx5Wg,Specialty coffee shop,NULL
LdMLOy,NULL,NULL
aBrqa2,NULL,NULL
WApVXN,NULL,NULL
OABMeg,Specialty coffee shop,NULL
NAB1xl,NULL,NULL
dY2ekV,NULL,NULL
LdMLBv,"National chain (e.g. Starbucks, Dunkin)",NULL
Albe0e,NULL,NULL
eBxW8e,NULL,NULL
8dp4V5,NULL,NULL
1r2ozp,NULL,NULL
DVv6al,NULL,NULL
QABl4Y,NULL,NULL
DVv6EZ,NULL,NULL
J2kvxR,NULL,NULL
eBxWGe,NULL,NULL
KMBKA8,NULL,NULL
DVv6Wl,Specialty coffee shop,NULL
DVv6Wl,"National chain (e.g. Starbucks, Dunkin)",NULL
QABlyG,NULL,NULL
pLPp58,NULL,NULL
VZ1Oqj,NULL,NULL
XeBPNP,NULL,NULL
jB9Aq4,NULL,NULL
qbE1M9,NULL,NULL
5dqPON,NULL,NULL
rlrMW2,NULL,NULL
dY2ezr,"National chain (e.g. Starbucks, Dunkin)",NULL
oAVLgb,NULL,NULL
GrBAaZ,NULL,NULL
7d9rOZ,NULL,NULL
kYRB1e,NULL,NULL
24xGzj,NULL,NULL
XeBPQP,NULL,NULL
9dJj4E,Local cafe,NULL
9dJj4E,Drive-thru,NULL
9dJj4E,Specialty coffee shop,NULL
MAdpqA,NULL,NULL
AlbeOz,NULL,NULL
NAB1Qj,NULL,NULL
GrBA5O,NULL,NULL
24xGYj,Specialty coffee shop,NULL
kYRBXR,NULL,NULL
WApV6N,"National chain (e.g. Starbucks, Dunkin)",NULL
WApV6N,Local cafe,NULL
WApV6N,Specialty coffee shop,NULL
dY2eXo,NULL,NULL
QABlp7,NULL,NULL
ylq5GX,NULL,NULL
EPb7Al,NULL,NULL
42NVEA,NULL,NULL
aBrqgb,NULL,NULL
42NVYX,NULL,NULL
oAVL1x,NULL,NULL
KMBKZV,NULL,NULL
1r2oyl,NULL,NULL
42NVEr,NULL,NULL
g5N614,NULL,NULL
0EjRyj,Specialty coffee shop,NULL
0EjRyj,Local cafe,NULL
0EjRyj,"National chain (e.g. Starbucks, Dunkin)",NULL
6dQEzJ,NULL,NULL
jB9Ara,NULL,NULL
dY2e4K,NULL,NULL
zKQ5vM,NULL,NULL
YZzlgW,NULL,NULL
pLPpZ1,NULL,NULL
J2kvro,NULL,NULL
xdN5B5,NULL,NULL
rlrMp2,NULL,NULL
QABlWG,NULL,NULL
vNx5d4,NULL,NULL
jB9AzQ,Local cafe,NULL
jB9AzQ,Specialty coffee shop,NULL
MAdp2M,Local cafe,NULL
MAdp2M,Specialty coffee shop,NULL
MAdp2M,"National chain (e.g. Starbucks, Dunkin)",NULL
7d9rYZ,NULL,NULL
g5N6XO,"National chain (e.g. Starbucks, Dunkin)",NULL
g5N6XO,Specialty coffee shop,NULL
PABJr1,NULL,NULL
RzByg4,NULL,NULL
MAdpGl,NULL,NULL
g5N6rD,NULL,NULL
RzByaj,NULL,NULL
PABJLV,NULL,NULL
GrBA4k,"National chain (e.g. Starbucks, Dunkin)",NULL
GrBA4k,Local cafe,NULL
zKQ5o0,NULL,NULL
dY2eyA,NULL,NULL
GrBAOp,NULL,NULL
qbE1QY,NULL,NULL
9dJj0p,NULL,NULL
EPb77N,NULL,NULL
YZzlbB,NULL,NULL
Albeek,NULL,NULL
WApV7a,"National chain (e.g. Starbucks, Dunkin)",NULL
WApV7a,Specialty coffee shop,NULL
kYRBPM,NULL,NULL
GrBAAo,NULL,NULL
rlrMMl,Local cafe,NULL
rlrMMl,Specialty coffee shop,NULL
VZ1Oag,NULL,NULL
5dqPa6,"National chain (e.g. Starbucks, Dunkin)",NULL
5dqPa6,Specialty coffee shop,NULL
J2kvj4,NULL,NULL
XeBPAj,"National chain (e.g. Starbucks, Dunkin)",NULL
24xGdL,NULL,NULL
qbE117,NULL,NULL
42NVVk,NULL,NULL
5dqPYo,NULL,NULL
J2kv4d,NULL,NULL
EPb7VX,NULL,NULL
LdMLxj,Specialty coffee shop,NULL
LdMLxj,Deli or supermarket,NULL
LdMLxj,Local cafe,NULL
1r2o0Q,NULL,NULL
bl4QJo,NULL,NULL
42NV6b,NULL,NULL
aBrqJv,NULL,NULL
OABMM7,NULL,NULL
42NVMb,NULL,NULL
WApVaj,NULL,NULL
RzByQ9,Local cafe,NULL
RzByQ9,Specialty coffee shop,NULL
OABMM8,NULL,NULL
42NVlk,NULL,NULL
XeBP6j,NULL,NULL
WApVLJ,NULL,NULL
eBxWWO,NULL,NULL
PABJqb,"National chain (e.g. Starbucks, Dunkin)",NULL
6dQEBB,NULL,NULL
GrBAEp,NULL,NULL
xdN5qo,NULL,NULL
g5N6VO,NULL,NULL
eBxWXO,NULL,NULL
KMBKj7,NULL,NULL
5dqP06,Deli or supermarket,NULL
zKQ58a,NULL,NULL
EPb7RN,NULL,NULL
DVv685,NULL,NULL
RzByed,NULL,NULL
oAVLjV,NULL,NULL
dY2ery,NULL,NULL
pLPp2b,NULL,NULL
QABlN8,NULL,NULL
GrBAZj,NULL,NULL
YZzl75,NULL,NULL
ylq58B,NULL,NULL
ylq5AB,NULL,NULL
AlbeR0,NULL,NULL
dY2eoo,NULL,NULL
YZzlAd,NULL,NULL
NAB1NB,NULL,NULL
aBrqR9,NULL,NULL
LdMLr1,Specialty coffee shop,NULL
LdMLr1,Local cafe,NULL
zKQ5k1,NULL,NULL
42NVbO,NULL,NULL
oAVLJ1,NULL,NULL
jB9AN6,NULL,NULL
qbE1l7,NULL,NULL
42NV0X,NULL,NULL
7d9rrA,NULL,NULL
5dqPNM,NULL,NULL
ZdRrbz,NULL,NULL
vNx5RA,Deli or supermarket,NULL
0EjRqN,NULL,NULL
vNx59Q,"National chain (e.g. Starbucks, Dunkin)",NULL
vNx59Q,Specialty coffee shop,NULL
EPb72o,"National chain (e.g. Starbucks, Dunkin)",NULL
EPb72o,Specialty coffee shop,NULL
EPb72o,Local cafe,NULL
dY2eJq,NULL,NULL
g5N6od,NULL,NULL
PABJxb,Local cafe,NULL
6dQEEB,NULL,NULL
6dQE6P,Deli or supermarket,NULL
6dQE6P,Specialty coffee shop,NULL
pLPpYq,NULL,NULL
RzByyJ,NULL,NULL
XeBP7g,NULL,NULL
rlrM8l,Local cafe,NULL
RzByqd,NULL,NULL
9dJjKY,NULL,NULL
RzByNl,NULL,NULL
VZ1O7J,NULL,NULL
vNx5kd,NULL,NULL
8dp4DO,NULL,NULL
7d9rkA,Local cafe,NULL
7d9rkA,"National chain (e.g. Starbucks, Dunkin)",NULL
GrBAAp,NULL,NULL
rlrMQN,NULL,NULL
GrBAW2,NULL,NULL
6dQEqe,NULL,NULL
RzBypp,NULL,NULL
zKQ5AR,NULL,NULL
eBxWg0,NULL,NULL
jB9AAx,NULL,NULL
oAVLLV,NULL,NULL
YZzl6d,Local cafe,NULL
YZzl6d,Specialty coffee shop,NULL
g5N6EN,NULL,NULL
xdN5AG,Specialty coffee shop,NULL
xdN5AG,"National chain (e.g. Starbucks, Dunkin)",NULL
lNlkp5,NULL,NULL
ZdRrBy,NULL,NULL
YZzl2q,"National chain (e.g. Starbucks, Dunkin)",NULL
YZzl2q,Local cafe,NULL
YZzl2q,Specialty coffee shop,NULL
rlrM75,NULL,NULL
zKQ5Ba,Local cafe,NULL
0EjRX0,NULL,NULL
VZ1OgE,Local cafe,NULL
VZ1OgE,Specialty coffee shop,NULL
9dJjjY,Local cafe,NULL
J2kvE4,NULL,NULL
rlrM4M,NULL,NULL
1r2oLM,NULL,NULL
8dp4Bx,NULL,NULL
jB9A4a,NULL,NULL
42NVVO,NULL,NULL
bl4QRg,Specialty coffee shop,NULL
bl4QRg,Local cafe,NULL
pLPpqq,NULL,NULL
AlbeXk,"National chain (e.g. Starbucks, Dunkin)",NULL
42NV6O,NULL,NULL
GrBAM2,NULL,NULL
LdML4j,NULL,NULL
42NVeB,NULL,NULL
QABllp,Local cafe,NULL
QABllp,Specialty coffee shop,NULL
RzByNJ,NULL,NULL
oAVLP1,NULL,NULL
kYRBj1,NULL,NULL
EPb79q,NULL,NULL
aBrqMq,NULL,NULL
GrBAVZ,NULL,NULL
5dqP7d,NULL,NULL
kYRBL6,Local cafe,NULL
kYRBL6,Specialty coffee shop,NULL
DVv6oR,NULL,NULL
GrBAGj,NULL,NULL
24xG9L,NULL,NULL
lNlkGW,NULL,NULL
vNx58v,Specialty coffee shop,NULL
vNx58v,Local cafe,NULL
g5N6BN,NULL,NULL
OABMRK,Specialty coffee shop,NULL
eBxWVq,NULL,NULL
g5N621,NULL,NULL
5dqPJM,NULL,NULL
7d9ryL,NULL,NULL
aBrq7E,NULL,NULL
XeBPa4,NULL,NULL
kYRBqJ,NULL,NULL
24xGGL,NULL,NULL
aBrqqq,NULL,NULL
VZ1O6v,Specialty coffee shop,NULL
VZ1O6v,"National chain (e.g. Starbucks, Dunkin)",NULL
jB9AjR,Local cafe,NULL
AlbeM0,Local cafe,NULL
AlbeM0,"National chain (e.g. Starbucks, Dunkin)",NULL
AlbeM0,Specialty coffee shop,NULL
NAB1ZQ,NULL,NULL
xdN5GG,NULL,NULL
oAVLJX,NULL,NULL
lNlkx5,NULL,NULL
ZdRrqa,NULL,NULL
OABM28,Local cafe,NULL
xdN5by,NULL,NULL
ylq5Lp,NULL,NULL
0EjR96,NULL,NULL
dY2eMA,NULL,NULL
jB9A4x,NULL,NULL
42NV5B,NULL,NULL
oAVLZP,NULL,NULL
EPb77X,NULL,NULL
pLPpQV,NULL,NULL
OABMq7,Specialty coffee shop,NULL
OABMq7,Local cafe,NULL
PABJJ5,NULL,NULL
1r2oQQ,NULL,NULL
6dQEoO,NULL,NULL
24xG6V,Deli or supermarket,NULL
lNlkkB,NULL,NULL
oAVL8e,NULL,NULL
rlrMz5,NULL,NULL
42NV0k,NULL,NULL
MAdpZp,Drive-thru,NULL
MAdpZp,"National chain (e.g. Starbucks, Dunkin)",NULL
MAdpZp,Local cafe,NULL
eBxW4E,NULL,NULL
rlrM4v,NULL,NULL
OABMx7,NULL,NULL
OABMZR,NULL,NULL
GrBAPo,NULL,NULL
PABJxQ,NULL,NULL
jB9AKR,NULL,NULL
QABl98,NULL,NULL
xdN55y,NULL,NULL
lNlk8B,NULL,NULL
NAB1kW,NULL,NULL
PABJQ5,NULL,NULL
dY2eOz,NULL,NULL
LdML8G,NULL,NULL
ylq5O0,NULL,NULL
9dJjAp,NULL,NULL
NAB1GW,NULL,NULL
GrBAGo,NULL,NULL
7d9rG9,NULL,NULL
24xGWV,NULL,NULL
5dqPRP,NULL,NULL
KMBK9M,NULL,NULL
kYRB26,NULL,NULL
ZdRrry,NULL,NULL
g5N6ld,NULL,NULL
DVv6Qj,NULL,NULL
aBrqW9,NULL,NULL
MAdpxX,NULL,NULL
rlrM9l,NULL,NULL
7d9r0P,Local cafe,NULL
7d9r0P,Specialty coffee shop,NULL
7d9r0P,"National chain (e.g. Starbucks, Dunkin)",NULL
BGbWRN,Specialty coffee shop,NULL
BGbWNA,NULL,NULL
xdN5Wo,Specialty coffee shop,NULL
xdN5Wo,Drive-thru,NULL
xdN5Wo,Local cafe,NULL
xdN5Wo,"National chain (e.g. Starbucks, Dunkin)",NULL
9dJjb1,NULL,NULL
bl4Q1g,NULL,NULL
9dJjeG,Other,Gas station
J2kvPd,NULL,NULL
EPb7oX,NULL,NULL
RzByAl,NULL,NULL
PABJKd,NULL,NULL
42NVZb,Specialty coffee shop,NULL
42NVZb,"National chain (e.g. Starbucks, Dunkin)",NULL
42NVZb,Local cafe,NULL
42NVZb,Deli or supermarket,NULL
42NVZb,Drive-thru,NULL
QABlZg,NULL,NULL
kYRBBM,"National chain (e.g. Starbucks, Dunkin)",NULL
qbE1r2,NULL,NULL
vNx55Q,NULL,NULL
YZzll5,NULL,NULL
QABlQp,NULL,NULL
jB9ARE,NULL,NULL
EPb7Ro,NULL,NULL
9dJjz4,NULL,NULL
qbElL5,NULL,NULL
RzBy7P,"National chain (e.g. Starbucks, Dunkin)",NULL
RzBy7P,Local cafe,NULL
pLPpjE,NULL,NULL
jB9AO6,NULL,NULL
BGbWMA,NULL,NULL
dY2yqN,NULL,NULL
ylqaNd,Local cafe,NULL
ylqaNd,Specialty coffee shop,NULL
zKQ5P8,NULL,NULL
24xGqb,NULL,NULL
MAdpog,Local cafe,NULL
YZzAPv,NULL,NULL
NAB1Kb,NULL,NULL
qbE1xk,NULL,NULL
PABqjP,NULL,NULL
rlrMx5,NULL,NULL
oAVj6M,Specialty coffee shop,NULL
rlrZ5X,NULL,NULL
OABN4a,NULL,NULL
aBrMNW,NULL,NULL
ZdRrpv,NULL,NULL
VZ16zj,NULL,NULL
0EjWQP,NULL,NULL
24x6Eg,NULL,NULL
zKQ6jg,Local cafe,NULL
24x6XM,NULL,NULL
5dqAXv,NULL,NULL
bl4Jq7,NULL,NULL
OABMpA,NULL,NULL
qbElGO,NULL,NULL
WAp79L,NULL,NULL
PABq11,NULL,NULL
eBxWdo,NULL,NULL
QABlgk,NULL,NULL
NABZrp,NULL,NULL
8dp4vo,NULL,NULL
oAVL4M,NULL,NULL
8dplLl,NULL,NULL
MAdxD8,NULL,NULL
VZ16pN,Specialty coffee shop,NULL
jB9VDY,NULL,NULL
bl4J97,NULL,NULL
zKQ6xZ,NULL,NULL
6dQEb5,NULL,NULL
0EjWrQ,NULL,NULL
ZdRBOV,Local cafe,NULL
MAdxeE,NULL,NULL
VZ16p6,NULL,NULL
lNlEBX,Local cafe,NULL
dY2eLN,NULL,NULL
rlrZOo,NULL,NULL
Albe1W,NULL,NULL
1r2o1L,NULL,NULL
VZ16G6,NULL,NULL
zKQ6YM,NULL,NULL
BGbRde,NULL,NULL
rlrMNL,NULL,NULL
LdMLA2,NULL,NULL
42NbKA,Specialty coffee shop,NULL
lNlEbV,NULL,NULL
pLP2rP,NULL,NULL
DVv6rp,NULL,NULL
lNlko6,NULL,NULL
eBxW1o,Local cafe,Cometeer
eBxW1o,Specialty coffee shop,Cometeer
eBxW1o,Other,Cometeer
VZ16El,NULL,NULL
BGbWPY,NULL,NULL
AlbX7o,NULL,NULL
oAVLrM,Specialty coffee shop,NULL
1r2aW4,NULL,NULL
RzB9Kv,NULL,NULL
5dqAzE,NULL,NULL
1r2oqO,NULL,NULL
42NbKr,"National chain (e.g. Starbucks, Dunkin)",NULL
24x6PD,NULL,NULL
OABNlM,NULL,NULL
8dp47Y,NULL,NULL
RzB9WQ,NULL,NULL
jB9VZ1,NULL,NULL
oAVj2b,Specialty coffee shop,NULL
jB9VlQ,NULL,NULL
GrBA2z,Local cafe,NULL
GrBA2z,Specialty coffee shop,NULL
9dJKQ5,NULL,NULL
aBrMdX,NULL,NULL
EPbOWB,NULL,NULL
OABNQk,NULL,NULL
dY2yEV,NULL,NULL
vNx9Yl,NULL,NULL
dY2yWD,NULL,NULL
bl4J50,NULL,NULL
WAp7OL,NULL,NULL
zKQ6yk,NULL,NULL
DVvGKE,NULL,NULL
MAdxRk,"National chain (e.g. Starbucks, Dunkin)",NULL
YZzlN6,"National chain (e.g. Starbucks, Dunkin)",NULL
YZzlN6,Specialty coffee shop,NULL
YZzlN6,Local cafe,NULL
YZzlN6,Deli or supermarket,NULL
zKQ6Ng,NULL,NULL
pLP2ey,NULL,NULL
KMBjeD,"National chain (e.g. Starbucks, Dunkin)",NULL
KMBjeD,Specialty coffee shop,NULL
KMBjeD,Drive-thru,NULL
KMBjeD,Local cafe,NULL
KMBjzD,NULL,NULL
