submission_id,additions
LdM4d2,"Milk, dairy alternative, or coffee creamer, No - just black"
42N0dB,"Milk, dairy alternative, or coffee creamer"
jB98M9,No - just black
1r205O,"Milk, dairy alternative, or coffee creamer"
5dq0yE,No - just black
YZzb4N,No - just black
QABq7Y,No - just black
PABQDd,No - just black
9dJY7E,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
24xYgM,No - just black
KMB25K,No - just black
RzBqzP,
GrBEvo,"No - just black, Milk, dairy alternative, or coffee creamer"
rlrQrv,"No - just black, Milk, dairy alternative, or coffee creamer"
LdMxpz,No - just black
ZdRblA,"Milk, dairy alternative, or coffee creamer"
bl4My7,No - just black
XeB72d,"Milk, dairy alternative, or coffee creamer"
zKQBXq,No - just black
rlr9Yv,"Sugar or sweetener, Milk, dairy alternative, or coffee creamer"
dY2GNy,"Milk, dairy alternative, or coffee creamer"
zKQA18,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
ZdRAAV,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
VZ17Ev,No - just black
NAB2Ab,No - just black
rlr9yM,"No - just black, Milk, dairy alternative, or coffee creamer"
5dqYbv,"No - just black, Milk, dairy alternative, or coffee creamer"
AlbRKW,No - just black
ylqb6X,"Milk, dairy alternative, or coffee creamer"
dY2o6d,"Milk, dairy alternative, or coffee creamer"
dY2oKz,"Milk, dairy alternative, or coffee creamer"
oAVN61,"Milk, dairy alternative, or coffee creamer"
rlr9yv,No - just black
kYR4Nr,"Milk, dairy alternative, or coffee creamer, Flavor syrup"
zKQ4kq,No - just black
RzBeoP,No - just black
24xYJL,"No - just black, Milk, dairy alternative, or coffee creamer"
ZdRAWA,No - just black
rlr9OL,"Milk, dairy alternative, or coffee creamer"
PABQdQ,"Milk, dairy alternative, or coffee creamer"
1r20NQ,No - just black
qbEqj2,"Milk, dairy alternative, or coffee creamer"
g5NV9P,"No - just black, Milk, dairy alternative, or coffee creamer"
42NY8Y,No - just black
GrBVJp,"No - just black, Milk, dairy alternative, or coffee creamer"
7d90RL,No - just black
lNl8WV,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
vNxaEA,"Milk, dairy alternative, or coffee creamer"
0EjY5P,No - just black
eBxO5q,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
blx47Z,"No - just black, Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
lNlXyB,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
1r2Yx4,No - just black
1r20WM,"No - just black, Milk, dairy alternative, or coffee creamer"
J2krad,No - just black
DVvo05,"Milk, dairy alternative, or coffee creamer"
VZ1aJj,No - just black
42N0ab,No - just black
aBrJxZ,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
9dJ0qG,No - just black
PABN1x,No - just black
8dpDDk,No - just black
qA2y0O,"Milk, dairy alternative, or coffee creamer"
V0ELg6,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
zKQ8Qg,No - just black
VZ1WYN,"Milk, dairy alternative, or coffee creamer, No - just black"
jB98W1,"Milk, dairy alternative, or coffee creamer"
24x9Rj,
rlr82o,No - just black
QABNj7,
vNx8El,No - just black
jB98WY,No - just black
LdM4Op,No - just black
qbE8gG,No - just black
bl41zZ,No - just black
xdN8yk,No - just black
rlr8LX,"Flavor syrup, Sugar or sweetener, Milk, dairy alternative, or coffee creamer"
jB98ga,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
pLPY01,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
GrBODO,No - just black
7d97a0,No - just black
WApale,No - just black
0EjqlN,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
oAV8dN,No - just black
0Ejqaj,No - just black
5dqaeZ,No - just black
g5N8v4,No - just black
oAV8lb,No - just black
AlbMyz,No - just black
jB9871,"Milk, dairy alternative, or coffee creamer"
9dJA2E,No - just black
PABZBx,No - just black
DVvRWR,No - just black
dY2JDV,No - just black
bl41Y1,"Milk, dairy alternative, or coffee creamer"
rlr8vR,No - just black
xdN89d,"No - just black, Milk, dairy alternative, or coffee creamer"
kYR8Jo,No - just black
YZz7xW,No - just black
RzBq29,No - just black
24x9DD,No - just black
rlr8k2,No - just black
7d97ER,No - just black
GrBOBO,No - just black
42NlPr,No - just black
XeB6OP,"Milk, dairy alternative, or coffee creamer, Flavor syrup"
VZ1W4y,No - just black
kYR8ve,No - just black
YZz7oN,No - just black
OABxYM,"No - just black, Milk, dairy alternative, or coffee creamer"
xdN8lv,No - just black
eBxgYk,"Milk, dairy alternative, or coffee creamer"
RzBqj9,"Milk, dairy alternative, or coffee creamer, No - just black, Flavor syrup"
1r2QGg,No - just black
pLPYZJ,No - just black
MAdj6k,No - just black
OABxER,No - just black
BGbJ0K,No - just black
qbE8jO,No - just black
kYR8ze,"Milk, dairy alternative, or coffee creamer"
GrBODQ,No - just black
vNx8KD,No - just black
oAV8VN,No - just black
VZ1Wxg,No - just black
24x9Oe,No - just black
KMBrO8,"Milk, dairy alternative, or coffee creamer, No - just black"
WApa1v,No - just black
bl41gL,No - just black
EPbovB,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
ylq8e8,"Milk, dairy alternative, or coffee creamer"
24x9ZL,No - just black
MAdjGM,No - just black
