submission_id,brew
lNlkqv,"Pour over, Espresso"
GrBO2O,"Pour over, Other"
KMBK1A,
dY2e9o,Espresso
9dJjQp,"Coffee extract (e.g. Cometeer), Other"
QABl58,Pour over
BGbWk5,"Pour over, Pod/capsule machine (e.g. Keurig/Nespresso)"
24xGPj,French press
0EjRdB,"French press, Espresso"
RzByPd,"Pour over, French press, Espresso"
RzBq9P,Pour over
PABJ65,"Pour over, French press"
oAVLRP,Other
24xGPL,Pour over
rlr84L,"Coffee brewing machine (e.g. Mr. Coffee), Pour over, French press, Espresso"
VZ1O0v,"French press, Espresso"
8dp4xO,Pod/capsule machine (e.g. Keurig/Nespresso)
bl4QWL,"Pour over, Espresso"
qbE1a9,"Pour over, French press, Instant coffee, Other"
VZ1O5J,"Pour over, Coffee extract (e.g. Cometeer)"
rlrMPl,"Espresso, Pod/capsule machine (e.g. Keurig/Nespresso)"
EPb7XN,"Pour over, French press"
dY2e0o,Other
lNlkyB,"Pour over, French press, Instant coffee, Cold brew"
BGbJo7,"Pour over, Espresso"
xdN5ay,"Pour over, French press, Espresso, Cold brew"
GrBAdp,
BGbWxQ,Coffee brewing machine (e.g. Mr. Coffee)
MAdpzp,"Espresso, Cold brew"
RzBy0J,"Pour over, Cold brew"
PABJ1e,"Pour over, Espresso"
XeBPWj,"Pour over, French press, Other"
g5N6Gl,"Espresso, Cold brew, Pour over"
jB9AZJ,"Pod/capsule machine (e.g. Keurig/Nespresso), Espresso"
g5N6e4,"Pour over, Other"
0Ejq9Q,"Pour over, Coffee brewing machine (e.g. Mr. Coffee)"
xdN8EG,Pod/capsule machine (e.g. Keurig/Nespresso)
zKQ5Da,"Pod/capsule machine (e.g. Keurig/Nespresso), Other"
xdN5Xv,"Pour over, Espresso"
24xGAj,"Pour over, Other"
lNl8j5,"Espresso, Other"
YZz7Nv,Pour over
VZ1OEj,"Pour over, French press, Espresso, Coffee brewing machine (e.g. Mr. Coffee)"
oAVLAV,"Pour over, Espresso"
vNx52A,
bl4Qlo,"Espresso, Pour over"
PABJ0Q,Pod/capsule machine (e.g. Keurig/Nespresso)
42NVkO,Pour over
9dJjdY,"Pour over, Coffee extract (e.g. Cometeer)"
WApV0J,
1r2oEM,Coffee brewing machine (e.g. Mr. Coffee)
jB9AME,Pour over
GrBAro,"Espresso, Pour over"
KMBK67,"Pour over, French press, Espresso"
xdN5QG,"Pour over, Coffee extract (e.g. Cometeer)"
XeBPe4,"Espresso, Pour over, Cold brew"
8dp4kx,Pour over
EPb71N,Coffee brewing machine (e.g. Mr. Coffee)
qbE1Wd,"Pour over, Espresso"
eBxWBO,Pour over
6dQExe,Other
24xGrp,"Pour over, Espresso"
0EjRbQ,Coffee brewing machine (e.g. Mr. Coffee)
5dqP2M,Espresso
QABlrg,Pour over
xdN5Qo,"Espresso, Other"
MAdpJg,
vNx5AQ,
YZzldq,Pod/capsule machine (e.g. Keurig/Nespresso)
RzByYp,Pour over
zKQ5zq,Pour over
5dqPkd,"Pour over, Espresso"
dY2eZN,"Pour over, French press"
1r2ovO,"Pour over, French press"
PABJB0,
AlbeDW,"Pour over, Cold brew"
GrBA1o,"Pour over, Espresso, Coffee extract (e.g. Cometeer), Cold brew, French press"
6dQE15,Other
LdMLG1,"Pour over, Espresso"
LdML0G,Other
zKQ5Kq,Other
J2kvJY,"French press, Espresso, Pour over"
rlrMVM,"Pour over, Espresso, French press, Coffee extract (e.g. Cometeer), Cold brew"
DVv6eb,Pour over
5dqPdd,Espresso
RzByLl,"Pour over, French press"
5dqPvP,"Espresso, Pour over"
YZzlV0,Pour over
vNx54A,"Pour over, Espresso"
XeBPG4,Pour over
jB9ABE,Pour over
PABJ8P,Pour over
RzBy4J,"Pod/capsule machine (e.g. Keurig/Nespresso), Espresso, French press, Pour over, Cold brew"
jB9AxR,"Pour over, French press, Espresso"
dY2eYA,"Espresso, Pour over"
0EjRJ0,Pour over
PABJvP,"Espresso, French press"
DVv60p,Coffee brewing machine (e.g. Mr. Coffee)
rlrMKv,"Pour over, Espresso"
9dJjJ4,"Pour over, Espresso"
oAVL0M,"Pour over, Espresso"
vNx5Od,
QABlYA,Pour over
24xGkp,"Pour over, Coffee extract (e.g. Cometeer)"
7d9roL,"Espresso, Pour over"
lNlkNW,"Espresso, Other"
g5N64N,"Pour over, Espresso"
g5N65d,Other
7d9rdA,"Pour over, Coffee brewing machine (e.g. Mr. Coffee)"
lNlkL5,"Pour over, Espresso"
rlrMKM,"Pour over, Espresso, Coffee extract (e.g. Cometeer)"
0EjRoQ,"Pour over, Espresso"
GrBA1j,"Pour over, Other"
qbE1b7,"French press, Pod/capsule machine (e.g. Keurig/Nespresso)"
oAVLVM,"Pour over, Espresso"
RzByRl,Pour over
g5N6QK,Coffee brewing machine (e.g. Mr. Coffee)
GrBAYz,"Espresso, Pour over"
QABlBk,"Cold brew, Coffee brewing machine (e.g. Mr. Coffee)"
vNx5NQ,French press
6dQEro,"Pour over, French press, Bean-to-cup machine, Espresso"
eBxWNo,"Pour over, Pod/capsule machine (e.g. Keurig/Nespresso)"
NAB1MN,"Pour over, French press, Other"
dY2eDy,Espresso
MAdpvE,"Pour over, Coffee brewing machine (e.g. Mr. Coffee)"
MAdp5Y,Pour over
9dJjE1,Pour over
PABJ20,"Pour over, Coffee brewing machine (e.g. Mr. Coffee)"
8dp4eA,Pour over
DVv65b,Coffee brewing machine (e.g. Mr. Coffee)
qbE1o8,"Pour over, Coffee brewing machine (e.g. Mr. Coffee)"
OABMBA,
oAVLlM,Coffee brewing machine (e.g. Mr. Coffee)
5dqPEb,"Pour over, Coffee brewing machine (e.g. Mr. Coffee), French press"
6dQEOO,"Pod/capsule machine (e.g. Keurig/Nespresso), Cold brew, Pour over, Other"
jB9A99,"Pour over, Espresso, Coffee extract (e.g. Cometeer), Coffee brewing machine (e.g. Mr. Coffee), Cold brew"
7d9r46,"Pour over, Cold brew"
qbE1Yk,Pour over
pLPpWZ,Pour over
VZ1Olv,"Pour over, French press, Other"
OABMJp,Other
aBrqry,"Pour over, Espresso"
7d9r9z,"Espresso, Pour over"
oAVLl5,"Pour over, Espresso"
aBrqZW,"Pour over, Espresso"
lNlk06,"Coffee brewing machine (e.g. Mr. Coffee), Pour over, French press"
ZdRrGv,Other
xdN5ZG,"Pour over, Espresso"
lNlkYV,"Pour over, Espresso"
VZ1OME,"Pour over, Other, French press"
rlrMrL,"Pour over, Espresso, Cold brew"
42NVAd,Espresso
jB9AJ1,"Pour over, Espresso, Other"
rlrMr5,"Pour over, Espresso"
WApVpQ,"Espresso, Instant coffee, Bean-to-cup machine"
ZdRrvA,"Pour over, Espresso"
8dp4dx,Espresso
vNx5JX,Other
zKQ5e1,
lNlkKV,"Espresso, Pour over"
rlrMJX,Pour over
8dp4PY,Espresso
LdMLaz,"Pour over, Espresso, Cold brew"
rlrM0L,"Pour over, Espresso"
PABJBd,"Other, Cold brew"
NAB1Rp,Pour over
42NV9d,"Pour over, Espresso"
jB9A76,"Pour over, Espresso, Cold brew"
OABMLK,"Pour over, Pod/capsule machine (e.g. Keurig/Nespresso), Cold brew"
GrBABz,"French press, Coffee brewing machine (e.g. Mr. Coffee), Other"
YZzlY6,"Pour over, Other"
YZzlo0,"Pour over, Cold brew"
g5N671,"Pour over, Espresso, Instant coffee"
qbE1k5,
7d9r16,
24xGkV,"French press, Other"
BGbWA4,
rlrMJp,"Pour over, French press, Espresso, Other"
bl4Qr2,"Pour over, Espresso"
aBrqDE,"Coffee brewing machine (e.g. Mr. Coffee), Espresso, Pour over, French press"
YZzlrq,Pour over
VZ1O9l,"Pour over, Espresso"
EPb7Lo,
jB9A09,"Pour over, Pod/capsule machine (e.g. Keurig/Nespresso)"
GrBAL2,Pour over
EPb7Z2,"Coffee brewing machine (e.g. Mr. Coffee), Espresso"
EPb7vA,"Other, French press"
42NVPo,"Pour over, Espresso"
g5N6JM,Espresso
9dJj2K,
xdN5Rk,"Espresso, Pour over"
24xGvA,"Pour over, Other"
AlbeWo,Other
ZdRrza,Pour over
qbE1Ek,Bean-to-cup machine
1r2oN4,"Coffee brewing machine (e.g. Mr. Coffee), Pod/capsule machine (e.g. Keurig/Nespresso)"
VZ1ObN,Pour over
24xGxA,"Bean-to-cup machine, Pour over"
pLPpRy,"Espresso, Other, Cold brew"
J2kvk7,"Pour over, Espresso"
oAVL55,"French press, Espresso"
lNlkWp,Pod/capsule machine (e.g. Keurig/Nespresso)
QABl8l,"Pour over, French press, Espresso"
eBxWxo,
eBxW2E,Pour over
rlrMd5,"Espresso, Pour over"
8dp4Ak,Pour over
RzByvv,"Espresso, Pour over"
rlrM2p,"Pour over, Other"
24xG1g,
EPb7BL,"Coffee brewing machine (e.g. Mr. Coffee), Pour over, Cold brew"
eBxWKJ,"Cold brew, Pour over, Espresso"
zKQ5J8,Other
ZdRrZ5,"Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee)"
1r2o2L,"Pour over, Espresso, Cold brew"
xdN599,"Pour over, Espresso, Other"
YZzlpz,Pour over
bl4Q82,
PABJ80,"Pour over, French press, Espresso"
24xGOb,"Coffee brewing machine (e.g. Mr. Coffee), Pour over"
5dqPGP,"Pour over, French press, Espresso, Coffee extract (e.g. Cometeer)"
bl4Q4E,"French press, Espresso, Pour over"
KMBKBK,Other
DVv6Jj,"Pour over, French press"
eBxW7E,"Pour over, Espresso"
GrBAoz,"Pour over, Espresso, Coffee extract (e.g. Cometeer)"
EPb70o,"Pour over, Espresso"
kYRBJd,
J2kv2d,"Pour over, Instant coffee, Cold brew, Other"
OABMdk,"Pour over, French press, Instant coffee"
LdMLvz,Espresso
0EjRv0,"Pour over, French press, Cold brew"
VZ1OZv,"French press, Pour over"
5dqPLM,"Pour over, French press, Espresso"
LdMLXG,Pour over
RzByZP,Pour over
42NVvB,
GrBAqO,"Pour over, French press, Espresso, Bean-to-cup machine"
BGbWj4,
BGbWB7,Pour over
ylq5o6,"Pour over, Espresso, Bean-to-cup machine, Coffee extract (e.g. Cometeer)"
J2kvLJ,Espresso
42NVjb,Espresso
bl4Q2E,"Coffee brewing machine (e.g. Mr. Coffee), Cold brew"
5dqPev,"Pour over, Pod/capsule machine (e.g. Keurig/Nespresso), Cold brew"
6dQEvO,Other
jB9ALR,"Coffee brewing machine (e.g. Mr. Coffee), Other"
9dJjpK,Other
LdMLE2,
xdN54E,
J2kvV7,"Pour over, Espresso"
8dp46k,"Coffee brewing machine (e.g. Mr. Coffee), Pod/capsule machine (e.g. Keurig/Nespresso)"
1r2oD4,"Pour over, Other"
bl4QK0,"Pour over, Cold brew, Coffee brewing machine (e.g. Mr. Coffee), Other"
DVv6AX,"Pour over, French press"
QABlxk,"French press, Cold brew, Other"
aBrqjy,Pour over
XeBP1e,"Pour over, Espresso"
qbE1P2,"Pour over, Espresso, French press"
9dJjlG,"Other, Pour over"
WApVPJ,"French press, Coffee brewing machine (e.g. Mr. Coffee)"
jB9A5Y,"Pour over, Other"
OABMjA,"Pour over, Espresso, French press, Cold brew"
DVv6V5,"Bean-to-cup machine, Espresso"
XeBPMd,"Pour over, French press, Espresso"
6dQEAo,Instant coffee
jB9AG9,Espresso
pLPpVV,"Pour over, French press, Espresso"
rlrMYo,Other
5dqPpQ,"Pour over, Espresso"
rlrMbN,"Pour over, Espresso"
zKQ51g,"Pour over, Coffee brewing machine (e.g. Mr. Coffee)"
7d9rp2,
5dqPMQ,"Pour over, Espresso, French press"
9dJjrE,"Pour over, Other"
MAdp78,
kYRBpo,
pLPpz1,"French press, Espresso"
KMBKgX,
QABlk1,
XeBPzz,Pour over
8dp4gP,Espresso
PABJ41,Pour over
QABlO1,"Pour over, Cold brew"
RzByjK,"Pour over, French press"
kYRBrr,"Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee)"
PABJGx,"Espresso, Pour over"
vNx5gl,Pour over
eBxWzx,"Pour over, Coffee brewing machine (e.g. Mr. Coffee)"
WApVZe,"Espresso, Coffee brewing machine (e.g. Mr. Coffee), Pour over, French press, Cold brew"
Albeae,Espresso
lNlkMX,Espresso
OABMVa,"Coffee brewing machine (e.g. Mr. Coffee), Cold brew"
XeBP2z,Other
eBxWpl,Pour over
EPb7gB,"Pour over, Coffee brewing machine (e.g. Mr. Coffee), Cold brew"
RzBy2K,"Cold brew, Espresso, French press"
1r2oBg,
GrBAjZ,"Espresso, Coffee brewing machine (e.g. Mr. Coffee)"
KMBKaD,"Pour over, Espresso"
ZdRrQV,Coffee brewing machine (e.g. Mr. Coffee)
1r2oRg,Other
kYRBkZ,"French press, Cold brew"
oAVLzb,"Pour over, Other"
aBrqzZ,Pour over
rlrMvX,"Pour over, French press"
EPb76l,"Pour over, Espresso"
24xGDM,Coffee brewing machine (e.g. Mr. Coffee)
7d9rPa,
DVv69R,"Espresso, Pour over"
42NVdA,"French press, Espresso"
g5N6OP,Pour over
J2kvZR,Espresso
RzBylj,Coffee brewing machine (e.g. Mr. Coffee)
qbE1zO,Pour over
jB9AEQ,"Pour over, Espresso"
xdN5ov,"French press, Pour over, Cold brew"
9dJja5,Espresso
EPb7N2,Pour over
kYRBQe,"Pour over, Other"
24xGVD,Pour over
VZ1O46,"French press, Espresso, Pour over"
PABJee,"Pour over, French press, Coffee brewing machine (e.g. Mr. Coffee), Pod/capsule machine (e.g. Keurig/Nespresso)"
eBxWYQ,Other
qbE1NO,"Coffee brewing machine (e.g. Mr. Coffee), Pour over"
oAVLaP,French press
LdMLgl,"French press, Espresso"
ylq5zd,Espresso
NAB1EO,Pour over
7d9rj0,"French press, Espresso"
ZdRrKB,Coffee brewing machine (e.g. Mr. Coffee)
xdN56d,Pour over
rlrMg2,Coffee brewing machine (e.g. Mr. Coffee)
qbE1pg,Coffee brewing machine (e.g. Mr. Coffee)
pLPpXJ,"Pour over, Espresso"
xdN5vk,"Pour over, Espresso, French press"
vNx5a0,"Pour over, French press"
LdML6J,Espresso
bl4QML,"Pour over, Pod/capsule machine (e.g. Keurig/Nespresso)"
6dQEyJ,Espresso
xdN5L5,"Pour over, Coffee brewing machine (e.g. Mr. Coffee), Espresso"
OABMra,Pour over
jB9AgQ,French press
EPb7AB,Cold brew
GrBAQO,"Pour over, Espresso"
lNlk9v,"Pour over, Coffee brewing machine (e.g. Mr. Coffee)"
eBxWox,Pod/capsule machine (e.g. Keurig/Nespresso)
VZ1OyM,
KMBKNV,Other
OABMyY,"Pour over, French press"
WApVjR,Espresso
OABMKR,Pour over
YZzlyW,"Espresso, Pour over"
BGbWVK,Espresso
XeBPyL,"Pour over, Espresso"
VZ1OBg,Espresso
1r2ox1,"Pour over, French press"
LdMLVl,"Pour over, Coffee brewing machine (e.g. Mr. Coffee), Cold brew"
oAVLQO,"Espresso, Pour over, Cold brew"
pLPpNJ,
eBxWPk,Espresso
VZ1Oxj,Pour over
zKQ54R,"Pour over, Espresso, Cold brew"
Albeyl,Pour over
eBxWyl,"Espresso, Pour over"
rlrM1R,Pod/capsule machine (e.g. Keurig/Nespresso)
24xGZD,Pour over
VZ1Oyy,Pour over
XeBPdg,"Pour over, Other"
rlrMRN,Espresso
6dQEGk,Espresso
EPb7YB,"Pour over, Espresso"
7d9rEa,French press
ylq5Rx,Pour over
MAdpgk,Espresso
g5N6vJ,"Pour over, French press, Espresso, Cold brew"
0EjRlB,Pour over
9dJjPQ,"Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee)"
AlbeND,"Pour over, Espresso, Other"
OABMkM,"Espresso, Pour over, Cold brew"
zKQ5dk,Espresso
7d9rgR,"Espresso, Coffee brewing machine (e.g. Mr. Coffee)"
vNx5pl,"Cold brew, Other, Pour over, Coffee brewing machine (e.g. Mr. Coffee), Pod/capsule machine (e.g. Keurig/Nespresso)"
EPb7e4,"Espresso, French press"
DVv6PZ,"Pour over, Espresso"
MAdpPk,"Espresso, Pod/capsule machine (e.g. Keurig/Nespresso), Other"
ylq5rg,"Coffee brewing machine (e.g. Mr. Coffee), Pour over"
24xG7M,"Pour over, Coffee brewing machine (e.g. Mr. Coffee)"
bl4Qz6,"Pour over, Other"
6dQE9Y,Other
eBxWvQ,Other
ZdRrXo,Other
24xGy9,Espresso
xdN57r,"Espresso, Pour over, Bean-to-cup machine, French press"
lNlkXk,Pour over
9dJjyV,"Pour over, Espresso"
RzBy19,"Pour over, French press"
J2kvgK,"Pour over, Espresso"
J2kvbo,"Pour over, French press, Espresso"
DVv6ZE,"Espresso, Bean-to-cup machine"
aBrq1B,"Pour over, Espresso"
XeBPvY,Espresso
ZdRrAo,"Other, Pour over"
NAB1O0,"Pour over, Coffee extract (e.g. Cometeer)"
J2kvBr,"Pour over, Espresso"
ylq5px,Coffee brewing machine (e.g. Mr. Coffee)
KMBKRg,"Pour over, Espresso, French press"
OABMyg,"Pour over, Espresso"
oAVLax,"Pour over, Espresso, Other"
VZ1OXg,Other
WApVdv,"Espresso, Pour over"
aBrqXB,"Pour over, French press"
EPb7rr,"Pour over, Espresso"
NAB1gO,Pour over
XeBPkY,"Espresso, Coffee brewing machine (e.g. Mr. Coffee)"
vNx5Wg,"Pour over, Other"
LdMLOy,Pour over
aBrqa2,"Pour over, Espresso"
WApVXN,"Espresso, Pod/capsule machine (e.g. Keurig/Nespresso)"
OABMeg,"Espresso, Pour over"
NAB1xl,"Coffee brewing machine (e.g. Mr. Coffee), Cold brew, Espresso"
dY2ekV,Pod/capsule machine (e.g. Keurig/Nespresso)
LdMLBv,Coffee brewing machine (e.g. Mr. Coffee)
Albe0e,Other
eBxW8e,"Pour over, Pod/capsule machine (e.g. Keurig/Nespresso)"
8dp4V5,"Pour over, Coffee brewing machine (e.g. Mr. Coffee), Cold brew"
1r2ozp,"Pour over, Espresso"
DVv6al,"Espresso, Coffee brewing machine (e.g. Mr. Coffee), Pod/capsule machine (e.g. Keurig/Nespresso)"
QABl4Y,Pour over
DVv6EZ,"Espresso, Pour over"
J2kvxR,"Pod/capsule machine (e.g. Keurig/Nespresso), Other"
eBxWGe,Pour over
KMBKA8,Pour over
DVv6Wl,Pour over
QABlyG,"Pour over, French press"
pLPp58,Pour over
VZ1Oqj,Pour over
XeBPNP,Espresso
jB9Aq4,"Pour over, Coffee extract (e.g. Cometeer), Espresso"
qbE1M9,Pour over
5dqPON,"Pour over, Espresso, Other"
rlrMW2,Espresso
dY2ezr,"Pour over, French press, Other"
oAVLgb,"Coffee brewing machine (e.g. Mr. Coffee), Other"
GrBAaZ,"Pour over, French press, Espresso"
7d9rOZ,Espresso
kYRB1e,Pod/capsule machine (e.g. Keurig/Nespresso)
24xGzj,
XeBPQP,Coffee brewing machine (e.g. Mr. Coffee)
9dJj4E,"Pour over, Coffee brewing machine (e.g. Mr. Coffee), Cold brew"
MAdpqA,"Pour over, French press"
AlbeOz,"Pour over, French press, Pod/capsule machine (e.g. Keurig/Nespresso), Other"
NAB1Qj,"Pour over, Espresso"
GrBA5O,Pour over
24xGYj,"Espresso, Pour over"
kYRBXR,Pour over
WApV6N,Pour over
dY2eXo,Coffee brewing machine (e.g. Mr. Coffee)
QABlp7,"Pour over, Other"
ylq5GX,Other
EPb7Al,"Pour over, Espresso"
42NVEA,"Espresso, Coffee brewing machine (e.g. Mr. Coffee)"
aBrqgb,Coffee brewing machine (e.g. Mr. Coffee)
42NVYX,Espresso
oAVL1x,"Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee)"
KMBKZV,"Pour over, French press"
1r2oyl,"Coffee extract (e.g. Cometeer), Pour over, Espresso, French press"
42NVEr,"Pour over, Other"
g5N614,"Cold brew, Espresso"
0EjRyj,"Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee)"
6dQEzJ,Pour over
jB9Ara,
dY2e4K,
zKQ5vM,"Pour over, Espresso, French press"
YZzlgW,"Pour over, Espresso"
pLPpZ1,French press
J2kvro,"Pour over, Espresso"
xdN5B5,"Coffee brewing machine (e.g. Mr. Coffee), Pod/capsule machine (e.g. Keurig/Nespresso)"
rlrMp2,"Pour over, Espresso"
QABlWG,"Pour over, Coffee extract (e.g. Cometeer), Cold brew"
vNx5d4,"Pour over, Cold brew, Instant coffee, Other"
jB9AzQ,"Pour over, Instant coffee, Cold brew, Espresso"
MAdp2M,"Pour over, Other"
7d9rYZ,"Pour over, Other"
g5N6XO,Pour over
PABJr1,"French press, Instant coffee, Pod/capsule machine (e.g. Keurig/Nespresso), Coffee brewing machine (e.g. Mr. Coffee)"
RzByg4,Other
MAdpGl,"Cold brew, Pour over"
g5N6rD,"Pour over, Cold brew"
RzByaj,"Pour over, French press, Espresso"
PABJLV,"Pour over, French press, Espresso"
GrBA4k,French press
zKQ5o0,Pour over
dY2eyA,Pod/capsule machine (e.g. Keurig/Nespresso)
GrBAOp,"Pour over, Espresso, Coffee extract (e.g. Cometeer)"
qbE1QY,Pour over
9dJj0p,
EPb77N,French press
YZzlbB,"Coffee extract (e.g. Cometeer), Pour over"
Albeek,Pour over
WApV7a,Coffee brewing machine (e.g. Mr. Coffee)
kYRBPM,Espresso
GrBAAo,Pour over
rlrMMl,
VZ1Oag,"Pour over, Espresso"
5dqPa6,"Coffee brewing machine (e.g. Mr. Coffee), Pour over"
J2kvj4,Pour over
XeBPAj,Pod/capsule machine (e.g. Keurig/Nespresso)
24xGdL,"Pour over, Espresso, Coffee extract (e.g. Cometeer)"
qbE117,"Pour over, French press, Cold brew"
42NVVk,"Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee)"
5dqPYo,Other
J2kv4d,Other
EPb7VX,"Other, French press"
LdMLxj,Pour over
1r2o0Q,"Espresso, Cold brew"
bl4QJo,Espresso
42NV6b,Coffee brewing machine (e.g. Mr. Coffee)
aBrqJv,"Coffee brewing machine (e.g. Mr. Coffee), Other"
OABMM7,Pour over
42NVMb,"Espresso, French press"
WApVaj,"Pour over, French press"
RzByQ9,"Pour over, French press, Espresso"
OABMM8,Pour over
42NVlk,"Pour over, Other"
XeBP6j,"Espresso, Pour over"
WApVLJ,
eBxWWO,Espresso
PABJqb,"Coffee brewing machine (e.g. Mr. Coffee), Pour over"
6dQEBB,"Pour over, French press, Other, Cold brew"
GrBAEp,"Pour over, Espresso"
xdN5qo,"Pod/capsule machine (e.g. Keurig/Nespresso), Pour over"
g5N6VO,
eBxWXO,
KMBKj7,Espresso
5dqP06,"Espresso, Pour over, Cold brew"
zKQ58a,Espresso
EPb7RN,"Pour over, French press, Espresso"
DVv685,"French press, Pour over"
RzByed,"Pour over, Other"
oAVLjV,Espresso
dY2ery,Pour over
pLPp2b,Espresso
QABlN8,Espresso
GrBAZj,"Espresso, Other, Pour over"
YZzl75,"Pour over, French press"
ylq58B,
ylq5AB,
AlbeR0,"Pour over, Espresso"
dY2eoo,Other
YZzlAd,"Pour over, French press, Coffee extract (e.g. Cometeer), Other"
NAB1NB,"Pour over, Coffee extract (e.g. Cometeer)"
aBrqR9,
LdMLr1,"Pour over, French press, Espresso, Coffee brewing machine (e.g. Mr. Coffee), Cold brew"
zKQ5k1,Other
42NVbO,Pour over
oAVLJ1,"Pour over, Cold brew"
jB9AN6,Pour over
qbE1l7,"Pour over, Espresso"
42NV0X,"Pour over, French press"
7d9rrA,Espresso
5dqPNM,"Pour over, Instant coffee"
ZdRrbz,"Pour over, Espresso, Other"
vNx5RA,"Instant coffee, Pour over, Espresso"
0EjRqN,"Pour over, French press, Espresso"
vNx59Q,Espresso
EPb72o,
dY2eJq,"Pour over, Espresso, Cold brew"
g5N6od,"Pod/capsule machine (e.g. Keurig/Nespresso), Pour over"
PABJxb,French press
6dQEEB,"Pour over, French press, Other"
6dQE6P,"Coffee brewing machine (e.g. Mr. Coffee), Other"
pLPpYq,"Pour over, Other"
RzByyJ,"Pour over, French press"
XeBP7g,Coffee brewing machine (e.g. Mr. Coffee)
rlrM8l,"Pour over, French press, Coffee brewing machine (e.g. Mr. Coffee)"
RzByqd,"Pour over, French press, Other"
9dJjKY,Espresso
RzByNl,
VZ1O7J,"Coffee extract (e.g. Cometeer), Espresso, Pour over, Other"
vNx5kd,"Coffee brewing machine (e.g. Mr. Coffee), Pod/capsule machine (e.g. Keurig/Nespresso)"
8dp4DO,Other
7d9rkA,"Cold brew, Espresso, Pour over"
GrBAAp,"Pour over, Espresso, Cold brew"
rlrMQN,Pour over
GrBAW2,"Espresso, Pour over"
6dQEqe,Pour over
RzBypp,"Espresso, Pour over, Other"
zKQ5AR,
eBxWg0,"Pod/capsule machine (e.g. Keurig/Nespresso), Espresso, French press, Cold brew"
jB9AAx,
oAVLLV,
YZzl6d,"Coffee brewing machine (e.g. Mr. Coffee), Espresso, Cold brew"
g5N6EN,
xdN5AG,
lNlkp5,"Pour over, Espresso"
ZdRrBy,"Pour over, Espresso"
YZzl2q,"French press, Espresso"
rlrM75,"Pour over, French press, Other"
zKQ5Ba,Coffee brewing machine (e.g. Mr. Coffee)
0EjRX0,"Pour over, French press"
VZ1OgE,"Pour over, Espresso"
9dJjjY,"Pour over, Espresso"
J2kvE4,"Pour over, French press, Cold brew, Other"
rlrM4M,"Coffee brewing machine (e.g. Mr. Coffee), Pour over"
1r2oLM,"Espresso, Other"
8dp4Bx,Pour over
jB9A4a,Other
42NVVO,"Pour over, French press, Cold brew, Espresso"
bl4QRg,"Pour over, French press"
pLPpqq,Pour over
AlbeXk,Espresso
42NV6O,"Espresso, French press, Other"
GrBAM2,"Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee), Cold brew"
LdML4j,
42NVeB,"Pour over, Espresso, Cold brew"
QABllp,"Pour over, Cold brew, French press"
RzByNJ,Pour over
oAVLP1,"Pour over, Espresso"
kYRBj1,Pour over
EPb79q,Other
aBrqMq,Pour over
GrBAVZ,"Pour over, Espresso, Coffee extract (e.g. Cometeer), Other"
5dqP7d,Other
kYRBL6,Pour over
DVv6oR,Other
GrBAGj,"Pour over, Cold brew, Other"
24xG9L,Other
lNlkGW,Espresso
vNx58v,Coffee brewing machine (e.g. Mr. Coffee)
g5N6BN,
OABMRK,"Pour over, Pod/capsule machine (e.g. Keurig/Nespresso)"
eBxWVq,"Pour over, Coffee extract (e.g. Cometeer), Bean-to-cup machine, Coffee brewing machine (e.g. Mr. Coffee)"
g5N621,Pour over
5dqPJM,"Espresso, Cold brew"
7d9ryL,"Pour over, Espresso, Pod/capsule machine (e.g. Keurig/Nespresso)"
aBrq7E,Pour over
XeBPa4,"Coffee brewing machine (e.g. Mr. Coffee), Other"
kYRBqJ,"Espresso, Cold brew"
24xGGL,Pour over
aBrqqq,"French press, Pour over, Espresso, Instant coffee, Other"
VZ1O6v,"Pour over, Other"
jB9AjR,"Pour over, Espresso"
AlbeM0,"Pour over, French press, Cold brew"
NAB1ZQ,"Coffee brewing machine (e.g. Mr. Coffee), Pour over, Espresso"
xdN5GG,Pour over
oAVLJX,
lNlkx5,"French press, Espresso, Coffee brewing machine (e.g. Mr. Coffee)"
ZdRrqa,"French press, Coffee brewing machine (e.g. Mr. Coffee)"
OABM28,"Coffee brewing machine (e.g. Mr. Coffee), Cold brew, Instant coffee"
xdN5by,"Pour over, Pod/capsule machine (e.g. Keurig/Nespresso)"
ylq5Lp,"Pod/capsule machine (e.g. Keurig/Nespresso), French press"
0EjR96,Other
dY2eMA,Coffee brewing machine (e.g. Mr. Coffee)
jB9A4x,"Espresso, Other, French press, Cold brew"
42NV5B,"Pod/capsule machine (e.g. Keurig/Nespresso), Bean-to-cup machine, Other"
oAVLZP,"Pour over, Espresso, Coffee extract (e.g. Cometeer), Coffee brewing machine (e.g. Mr. Coffee)"
EPb77X,"Espresso, Other"
pLPpQV,"Pour over, Instant coffee, Cold brew"
OABMq7,Espresso
PABJJ5,Pour over
1r2oQQ,"Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee), Coffee extract (e.g. Cometeer)"
